a	art.—
symbolism	n.象徴主義@n.象徴
symbolize	vt.象徴する@vt.記号で表す
symbolized	vt.象徴した
symbolizes	vt.象徴する@vt.表す
symbols	n.シンボル@n.記号
symmetric	a.対称的な@a.対称の
symmetrical	a.対称的な@a.左右対称の
symmetries	n.対称@n.対称性
symmetry	n.対称@n.均整
symonds	n.サイモンズ
sympathetic	a.同情的な@a.共感する
sympathies	n.同情@n.共感
sympathize	vi.同情する@vi.共感する
sympathy	n.同情@n.共感
symphonic	a.交響曲の@a.調和のとれた
symphonies	n.交響曲
symphony	n.交響曲@n.シンフォニー
symposium	n.シンポジウム@n.学会
symptom	n.症状@n.兆候
symptomatic	a.症状の@a.徴候を示す
symptoms	n.症状
syn	n.同義語
synagogue	n.シナゴーグ@n.ユダヤ教会堂
synagogues	n.ユダヤ教会堂@n.シナゴーグ
synapse	n.シナプス
synapses	n.シナプス
synaptic	a.シナプスの
sync	n.同期@vt.同期する
synch	v.同期する@n.同期
synchro	n.シンクロ
synchronicity	n.共時性@n.同時性
synchronisation	n.同期@n.同期化
synchronization	n.同期@n.同期化
synchronize	vt.同期させる@vi.同期する
synchronized	a.同期した@v.同期させた
synchronizer	n.同期装置
synchronizing	v.同期させる@n.同期化
synchronous	a.同期の@a.同時の
synchrotron	n.シンクロトロン
syncing	n.同期@vt.同期する
syndicate	n.シンジケート@n.企業連合
syndicated	a.シンジケートの@v.配給した
syndicates	n.企業連合@vt.シンジケートを組む
syndication	n.シンジケーション@n.配信
syndrome	n.症候群@n.シンドローム
syndromes	n.症候群
synergies	n.相乗効果@n.シナジー
synergistic	a.相乗的な@a.共同作用の
synergy	n.相乗効果@n.シナジー
synod	n.教会会議@n.宗教会議
synonym	n.同義語@n.類義語
synonymous	a.同義の@a.同意語の
synonyms	n.同義語@n.類義語
synopses	n.概要@n.あらすじ
synopsis	n.あらすじ@n.概要
synoptic	a.概要の@a.総観的な
synovial	a.滑液の@a.滑膜の
syntactic	a.統語論の@a.構文の
syntax	n.構文@n.文法
synth	n.シンセサイザー
synthesis	n.合成@n.統合
synthesize	v.合成する@v.統合する
synthesized	v.合成した@a.合成された
synthesizer	n.シンセサイザー
synthesizers	n.シンセサイザー
synthesizing	vt.合成する@n.統合
synthetic	a.合成の@a.人工の
synthetics	n.合成品（複数形）@n.合成繊維（複数形）
synths	n.シンセサイザー
syphilis	n.梅毒
syr	n.シル
syracuse	n.シラキュース
syria	n.シリア
syriac	n.シリア語@a.シリア語の
syrian	a.シリアの@n.シリア人
syrians	n.シリア人
syringe	n.注射器
syringes	n.注射器
syrup	n.シロップ
syrups	n.シロップ
sysadmin	n.システム管理者
sysop	n.シスオペ@n.システム管理者
syst	n.システム
system	n.システム@n.体制
systematic	a.体系的な@a.組織的な
systematically	ad.体系的に@ad.組織的に
systematics	n.分類学@n.体系学
systemic	a.全身性の@a.体系的な
systems	n.システム
systolic	a.収縮期の
tab	n.タブ
tabasco	n.タバスコ
tabbed	a.タブ付きの@v.タブを付けた
tabby	n.とら猫@a.縞模様の
tabernacle	n.幕屋@n.礼拝堂
tabitha	n.タビサ
tabla	n.タブラ
tablature	n.タブ譜
tablatures	n.タブ譜@n.楽譜
table	n.テーブル@n.表
tableau	n.タブロー@n.活人画
tableaux	n.タブロー（複数形）@n.活人画（複数形）
tablecloth	n.テーブルクロス
tablecloths	n.テーブルクロス
tabled	v.提出した@v.棚上げした
tables	n.テーブル@n.表
tablespoon	n.大さじ
tablespoons	n.大さじ
tablet	n.タブレット@n.錠剤
tabletop	n.テーブルの上@a.卓上の
tablets	n.タブレット@n.錠剤
tableware	n.食器@n.テーブルウェア
tabling	vt.棚上げする@n.表の作成
tabloid	n.タブロイド紙@a.タブロイドの
tabloids	n.タブロイド紙
taboo	n.タブー@a.禁忌の
taboos	n.タブー@vt.禁止する
tabor	n.タボル
tabs	n.タブ
tabular	a.表形式の@a.平板な
tabulated	v.表にした@a.集計された
tabulation	n.表作成@n.集計
tabulations	n.表作成@n.集計
tach	n.タコメーター
tachometer	n.回転計@n.タコメーター
tachycardia	n.頻脈
tacit	a.暗黙の@a.無言の
tacitus	n.タキトゥス
tack	n.鋲@n.方針@vt.鋲で留める
tacked	vt.鋲で止めた@vi.方向転換した
tackle	vt.取り組む@n.タックル
tackled	v.取り組んだ@v.タックルした
tackles	n.タックル@v.取り組む
tackling	n.タックル@v.取り組む
tacks	n.びょう@vt.びょうで留める@n.方針
tacky	a.安っぽい@a.粘着性の
taco	n.タコス
tacoma	n.タコマ
tacos	n.タコス
tact	n.機転@n.如才なさ
tactic	n.戦術@n.策略
tactical	a.戦術的な@a.戦術上の
tactics	n.戦術@n.戦略
tactile	a.触覚の@a.触れることができる
tad	n.少量@n.少し
tadpole	n.オタマジャクシ
taffeta	n.タフタ
taffy	n.タフィー@n.おべっか
taft	n.タフト
tag	n.タグ@v.タグ付けする
tagalog	n.タガログ語@a.タガログの
tagged	a.タグ付けされた@v.タグを付けた
tagger	n.タグ付け人@n.落書き犯
tagging	n.タグ付け@v.タグを付ける
tagline	n.キャッチコピー@n.タグライン
taglines	n.キャッチコピー@n.タグライン
tagore	n.タゴール
tags	n.タグ
tahiti	n.タヒチ
tahitian	n.タヒチ人@a.タヒチの
tahoe	n.タホ
tai	n.タイ
taichung	n.台中
tail	n.尾@n.しっぽ
tailed	a.尾のある@v.尾行した
tailgate	n.テールゲート@vi.あおり運転する
tailgating	n.あおり運転@n.テールゲートパーティー
tailings	n.尾鉱@n.残滓
taille	n.人頭税
taillight	n.テールライト@n.尾灯
taillights	n.テールライト@n.尾灯
tailor	n.仕立て屋@vt.仕立てる
tailored	a.仕立ての@v.仕立てた
tailoring	n.仕立て@v.仕立てる
tailors	n.仕立て屋@vt.仕立てる
tails	n.尾@n.裏面
tain	n.ターン
taint	n.汚点@vt.汚す@n.腐敗
tainted	a.汚染された@v.汚した
taipei	n.台北
taiwan	n.台湾
taiwanese	a.台湾の@n.台湾人
tajik	n.タジク人@a.タジクの
tajikistan	n.タジキスタン
taka	n.タカ
take	v.取る@v.連れて行く
takeaway	n.テイクアウト@n.持ち帰り
takeaways	n.持ち帰り料理@n.要点
taken	v.取られた@a.撮影された
takeoff	n.離陸@n.出発
takeout	n.持ち帰り@a.テイクアウトの
takeover	n.買収@n.乗っ取り
takeovers	n.買収@n.乗っ取り
taker	n.取る人@n.引受人
takers	n.受取人@n.応じる人
takes	v.取る
takin	n.ターキン
taking	v.取っている@n.撮影
takings	n.収入@n.売上高
tala	n.タラ
talbot	n.タルボット
talc	n.タルク@n.滑石
tale	n.物語@n.話
talent	n.才能@n.タレント
talented	a.才能のある@a.有能な
talents	n.才能@n.タレント
tales	n.物語@n.話
taliban	n.タリバン
talisman	n.お守り@n.護符
talk	v.話す@n.話
talkative	a.おしゃべりな@a.話し好きな
talked	v.話した
talker	n.話す人@n.おしゃべり
talkers	n.話す人@n.おしゃべり
talkie	n.トーキー@n.発声映画
talkies	n.トーキー映画（複数形）
talking	v.話している@n.話すこと
talks	n.会談@vi.話す@n.講演
tall	a.背が高い@a.高い
tallahassee	n.タラハシー
taller	a.より高い
tallest	a.最も背の高い
talley	n.タリー
tallied	v.集計した@v.一致した
tallies	n.勘定@vt.計算する@vi.一致する
tallinn	n.タリン
tallow	n.獣脂@vt.獣脂を塗る
tally	n.勘定@vi.一致する
talmud	n.タルムード
talon	n.鉤爪@n.かぎ爪
talons	n.鉤爪@n.タロン
tam	n.タム
tamara	n.タマラ
tamarack	n.タマラック@n.アメリカカラマツ
tamarind	n.タマリンド
tambourine	n.タンバリン
tame	a.飼い慣らされた@vt.飼い慣らす
tamed	vt.飼いならした@a.手なずけられた
tamer	n.調教師@a.より穏やかな
tami	n.タミ
tamil	n.タミル語@a.タミルの
taming	v.飼いならす@n.調教
tammany	n.タマニー
tammy	n.タミー
tamoxifen	n.タモキシフェン
tampa	n.タンパ
tamper	v.改ざんする@v.いじる
tampere	n.タンペレ
tampered	vi.いじった@vi.改ざんした
tampering	n.改ざん@v.いじくる
tampon	n.タンポン
tampons	n.タンポン
tamworth	n.タムワース
tan	n.日焼け@a.黄褐色の
tana	n.タナ
tanager	n.フウキンチョウ
tandem	n.タンデム@ad.縦に並んで
tandoori	n.タンドーリ@a.タンドール窯の
tang	n.タン@n.強い風味
tanga	n.タンガ
tangent	n.接線@n.タンジェント@a.接線の
tangential	a.接線の@a.関連の薄い
tangerine	n.タンジェリン@n.みかん
tangible	a.有形の@a.具体的な
tangier	n.タンジール
tangle	n.もつれ@vt.もつれさせる
tangled	a.もつれた@v.絡まった
tango	n.タンゴ
tangy	a.ピリッとした@a.風味のある
tania	n.タニア
tank	n.タンク@n.戦車
tankard	n.大ジョッキ@n.タンカード
tanker	n.タンカー@n.給油車
tankers	n.タンカー@n.給油車
tanks	n.タンク@n.戦車
tanned	a.日焼けした@v.日焼けした
tanner	n.皮なめし職人@n.タナー
tannery	n.なめし革工場
tanning	n.日焼け@n.なめし
tannins	n.タンニン
tantalizing	a.じらすような@a.食欲をそそる
tantalum	n.タンタル
tantamount	a.同等の@a.等しい
tanto	n.短刀
tantra	n.タントラ
tantric	a.タントラの
tantrum	n.かんしゃく
tantrums	n.かんしゃく
tanya	n.ターニャ
tanzania	n.タンザニア
tanzanian	n.タンザニア人@a.タンザニアの
tao	n.道@n.タオ
taoism	n.道教@n.老荘思想
taoist	n.道教信者@a.道教の
taos	n.タオス
tap	vt.叩く@n.蛇口@n.タップ
tapas	n.タパス
tape	n.テープ@v.テープで留める
taped	v.テープで録画した@a.録音された
taper	vi.先細りになる@n.テーパー
tapered	a.先細りの@v.次第に細くなる
tapering	a.先細りの@vi.次第に細くなる
tapers	vi.先細りになる@n.細いろうそく
tapes	n.テープ
tapestries	n.タペストリー@n.つづれ織り
tapestry	n.タペストリー@n.壁掛け
taping	n.録画@v.テープで録る
tapioca	n.タピオカ
tapped	v.叩いた@v.利用した
tapping	v.叩く@n.タッピング
taproot	n.主根@n.根源
taps	n.栓@v.叩く@n.タップ
tar	n.タール@vt.タールを塗る
tara	n.タラ
tarantino	n.タランティーノ
tarantula	n.タランチュラ
tarball	n.ターボール
tardy	a.遅い@a.遅刻した
tare	n.風袋@n.雑草
target	n.ターゲット@n.目標@v.狙う
targeted	a.ターゲットを絞った@v.狙った
targeting	v.対象とする@n.ターゲティング
targets	n.目標@n.ターゲット
tariff	n.関税@n.料金表
tariffs	n.関税@n.料金表
tarmac	n.ターマック@n.駐機場
tarn	n.山上湖
tarnish	vt.くすませる@n.くもり
tarnished	a.くすんだ@vt.汚した
taro	n.タロイモ
tarot	n.タロット
tarp	n.防水シート@n.タープ
tarpon	n.ターポン
tarps	n.防水シート@n.タープ
tarragon	n.タラゴン
tarragona	n.タラゴナ
tarry	vi.居残る@a.タールの
tarrytown	n.タリータウン
tarsus	n.足根@n.タルスス
tart	n.タルト@a.酸っぱい@a.辛辣な
tartan	n.タータン@a.タータンチェックの
tartans	n.タータン（複数形）
tartar	n.歯石@n.酒石@n.タタール人
tarts	n.タルト@n.ふしだらな女
tartu	n.タルトゥ
tarzan	n.ターザン
taser	n.テーザー銃
tasha	n.ターシャ
tashkent	n.タシケント
task	n.タスク@n.仕事
taskbar	n.タスクバー
tasked	v.仕事を課した@a.割り当てられた
taskforce	n.タスクフォース@n.対策本部
tasking	n.タスク割り当て@v.仕事を課す
tasks	n.タスク
tasman	n.タスマン
tasmania	n.タスマニア
tasmanian	a.タスマニアの@n.タスマニア人
tass	n.タス通信
tassel	n.房飾り@n.タッセル
tassels	n.房飾り@n.ふさ
taste	n.味@v.味わう
tasted	v.味わった@v.味見した
tasteful	a.趣味の良い@a.上品な
tastefully	ad.上品に@ad.趣味よく
tasteless	a.味のない@a.趣味の悪い
taster	n.試食者@n.試飲者
tastes	n.味@v.味わう
tasting	n.試飲@n.試食@v.味わう
tastings	n.試飲@n.試食
tasty	a.おいしい@a.美味な
tat	n.安物@n.がらくた
tatar	n.タタール人@a.タタールの
tate	n.テート
tatiana	n.タチアナ
tattered	a.ぼろぼろの@a.みすぼらしい
tattoo	n.タトゥー@n.入れ墨
tattooed	a.入れ墨のある@v.入れ墨をした
tattooing	n.入れ墨@vt.入れ墨をする
tattoos	n.タトゥー@n.入れ墨
tatum	n.テイタム
tau	n.タウ
taught	v.教えた
taunt	vt.あざける@n.嘲り
taunting	vt.嘲る@a.からかいの
taunton	n.トーントン
taupe	n.モグラ色@a.灰褐色の
taurine	n.タウリン@a.牛の
taurus	n.牡牛座@n.タウラス
taut	a.ぴんと張った@a.緊張した
tavern	n.居酒屋@n.酒場
taverns	n.居酒屋@n.酒場
tawny	a.黄褐色の
tax	n.税金@v.課税する
taxa	n.分類群
taxable	a.課税対象の
taxation	n.課税@n.税制
taxed	v.課税した@a.課税された
taxes	n.税金
taxi	n.タクシー
taxicab	n.タクシー
taxicabs	n.タクシー（複数形）
taxidermy	n.剥製術
taxing	a.厳しい@a.骨の折れる
taxis	n.タクシー
taxon	n.分類群
taxonomic	a.分類学の@a.分類上の
taxonomy	n.分類法@n.分類学
taxpayer	n.納税者
taxpayers	n.納税者
taylor	n.テイラー
tayside	n.テイサイド
tbilisi	n.トビリシ
tbs	n.大さじ
tbsp	n.大さじ
tchaikovsky	n.チャイコフスキー
tea	n.お茶@n.紅茶
teach	v.教える
teacher	n.教師@n.先生
teachers	n.教師
teaches	v.教える
teaching	n.教えること@n.教育
teachings	n.教え@n.教義
teacup	n.ティーカップ
teak	n.チーク材@n.チーク
teal	n.コガモ@n.青緑色
team	n.チーム
teamed	v.チームを組んだ
teaming	v.チームを組む@v.協力する
teammate	n.チームメイト@n.同僚
teammates	n.チームメイト
teams	n.チーム
teamsters	n.トラック運転手@n.御者
teamwork	n.チームワーク@n.協力
teapot	n.急須@n.ティーポット
teapots	n.ティーポット@n.急須
tear	n.涙@vt.引き裂く@n.裂け目
teardrop	n.涙のしずく@a.涙形の
tearing	v.引き裂く@a.激しい
tears	n.涙@vt.引き裂く
teas	n.お茶@n.紅茶
tease	vt.からかう@n.からかい
teased	v.からかった@v.いじめた
teaser	n.じらす人@n.ティーザー広告
teasers	n.じらす人@n.予告編
teases	vt.からかう@n.じらす人
teasing	n.からかい@v.からかう
teaspoon	n.ティースプーン@n.小さじ
teaspoons	n.小さじ@n.ティースプーン
tech	n.テクノロジー@n.技術
techie	n.技術者@n.テクニカル志向の人
techies	n.技術者@n.テクノロジー好き
technetium	n.テクネチウム
technic	n.技術@n.技法
technical	a.技術的な@a.専門的な
technicalities	n.専門的事項@n.技術的詳細
technically	ad.技術的に@ad.厳密に言えば
technician	n.技術者@n.テクニシャン
technicians	n.技術者@n.テクニシャン
technicolor	n.テクニカラー@a.鮮やかな
technics	n.テクニクス@n.技術
technique	n.技術@n.テクニック
techniques	n.技術@n.テクニック
techno	n.テクノ
technological	a.技術的な@a.科学技術の
technologically	ad.技術的に
technologies	n.技術
technologist	n.技術者@n.テクノロジスト
technologists	n.技術者
technology	n.技術@n.テクノロジー
techs	n.技術者@n.テック
tectonic	a.地殻構造の@a.建築の
tectonics	n.地殻構造学@n.構造地質学
tecumseh	n.テカムセ
ted	n.テッド
teddies	n.テディベア@n.テディ
teddy	n.テディ@n.テディベア
tedious	a.退屈な@a.うんざりする
tee	n.ティー@n.Tシャツ
teeming	a.あふれている@vi.群がる
teen	n.十代@a.十代の
teenage	a.十代の@a.ティーンエイジの
teenager	n.十代の若者
teenagers	n.十代の若者
teens	n.十代
teeny	a.ちっちゃな@a.とても小さい
tees	n.Tシャツ@n.ティー
teeter	vi.ぐらつく@n.動揺
teeth	n.歯
teething	n.歯が生えること
teflon	n.テフロン
tehran	n.テヘラン
tel	n.電話
telecast	n.テレビ放送@vt.テレビ放送する
telecaster	n.テレキャスター
telecommunication	n.電気通信
telecommunications	n.電気通信
telecommuting	n.テレワーク@n.在宅勤務
telecoms	n.通信@n.電気通信
teleconference	n.テレビ会議
teleconferencing	n.テレビ会議@n.電話会議
telegram	n.電報
telegrams	n.電報
telegraph	n.電報@vt.電報を打つ
telegraphic	a.電報の@a.簡潔な
telemark	n.テレマーク
telemarketers	n.電話販売員
telemarketing	n.電話勧誘販売@n.テレマーケティング
telemetry	n.テレメトリー@n.遠隔測定
telepathy	n.テレパシー@n.精神感応
telephone	n.電話@v.電話する
telephoned	vt.電話した
telephones	n.電話@v.電話する
telephoning	vt.電話する
telephony	n.電話通信
telephoto	n.望遠@a.望遠の
teleport	vt.テレポートする@n.瞬間移動
telesales	n.電話販売@n.テレセールス
telescope	n.望遠鏡
telescopes	n.望遠鏡
telescopic	a.望遠鏡の@a.伸縮自在の
telescoping	a.入れ子式の@vt.縮める
teletext	n.テレテキスト
televised	a.テレビ放映された@v.放映した
television	n.テレビ
televisions	n.テレビ
telex	n.テレックス
tell	v.伝える@v.教える
teller	n.語り手@n.銀行窓口係
tellers	n.出納係@n.語り手
telling	a.効果的な@v.伝えている
tells	v.伝える@v.話す
telluride	n.テルライド
telly	n.テレビ
telnet	n.Telnet
telugu	n.テルグ語@a.テルグの
temp	n.派遣社員@n.一時的な
tempe	n.テンペ
temper	n.気性@vt.和らげる
tempera	n.テンペラ
temperament	n.気質@n.気性
temperance	n.節制@n.禁酒
temperate	a.温帯の@a.節度のある
temperature	n.温度@n.体温
temperatures	n.温度@n.気温
tempered	a.強化された@a.調子を整えた
tempest	n.大嵐@n.騒動
templar	n.テンプル騎士
template	n.テンプレート
templates	n.テンプレート
temple	n.寺院@n.神殿@n.こめかみ
temples	n.寺院@n.こめかみ
tempo	n.テンポ@n.速度
temporal	a.時間の@a.側頭部の
temporally	ad.時間的に@ad.一時的に
temporarily	ad.一時的に
temporary	a.一時的な
temps	n.派遣社員@n.臨時職員
tempt	vt.誘惑する@vt.そそのかす
temptation	n.誘惑@n.誘惑物
temptations	n.誘惑
tempted	v.誘惑した@a.誘惑された
tempting	a.魅力的な@a.誘惑的な
ten	n.十@a.十の
tenacious	a.粘り強い@a.執念深い
tenacity	n.粘り強さ@n.執念
tenancies	n.借用（複数形）@n.賃借権（複数形）
tenancy	n.賃借権@n.借用期間
tenant	n.借主@n.テナント
tenants	n.借家人@n.テナント
tend	vi.傾向がある@vt.世話をする
tended	v.〜しがちだった@v.世話をした
tendencies	n.傾向@n.性向
tendency	n.傾向@n.性向
tender	a.柔らかい@a.優しい@n.入札
tendered	v.提出した@v.入札した
tenderer	n.入札者@a.より柔らかい
tendering	n.入札@v.差し出す
tenderloin	n.テンダーロイン@n.ヒレ肉
tenderly	ad.優しく@ad.柔らかく
tenderness	n.優しさ@n.柔らかさ
tenders	n.入札@n.提案
tending	v.傾向がある@v.世話をする
tendon	n.腱
tendons	n.腱
tends	v.傾向がある@v.世話をする
tenement	n.賃貸アパート@n.長屋
tenerife	n.テネリフェ島
tenet	n.教義@n.信条
tenets	n.教義@n.信条
tenge	n.テンゲ
tenn	n.テネシー
tennessean	a.テネシーの@n.テネシー人
tennessee	n.テネシー
tennis	n.テニス
tennyson	n.テニソン
tenor	n.テノール@n.趣旨
tenors	n.テノール@n.趣旨
tens	n.10@n.10代
tense	a.緊張した@n.時制
tenses	n.時制@vt.緊張させる
tensile	a.引張りの@a.張力の
tension	n.緊張@n.張力
tensions	n.緊張@n.張力
tensor	n.テンソル
tent	n.テント
tentacle	n.触手
tentacles	n.触手
tentative	a.仮の@a.暫定的な
tentatively	ad.仮に@ad.暫定的に
tented	a.テント張りの
tenth	a.第10の@n.10分の1
tenths	n.10分の1
tents	n.テント
tenuous	a.希薄な@a.脆弱な
tenure	n.在職期間@n.終身在職権
tenured	a.終身在職権のある
tepid	a.ぬるい@a.熱意のない
tequila	n.テキーラ
ter	n.テル
terabyte	n.テラバイト
terabytes	n.テラバイト
terence	n.テレンス
teresa	n.テレサ
teri	n.テリ
teriyaki	n.照り焼き
term	n.用語@n.期間@n.条件
termed	v.呼んだ@v.称した
terminal	n.ターミナル@a.末期の
terminally	ad.末期的に@ad.致命的に
terminals	n.端末@n.ターミナル
terminate	v.終了する@vt.終了させる
terminated	v.終了した@a.終了された
terminates	v.終了する@v.終結させる
terminating	v.終了する@v.終結する
termination	n.終了@n.解約
terminations	n.終了@n.解雇
terminator	n.ターミネーター@n.終端子
termini	n.終点@n.終着駅
terminology	n.用語@n.専門用語
terminus	n.終点@n.終着駅
termite	n.シロアリ
termites	n.シロアリ
terms	n.条件@n.用語
tern	n.アジサシ
ternary	a.三つの@a.三進法の
terns	n.アジサシ
terr	n.テラス@n.領土
terra	n.地球@n.テラ
terrace	n.テラス@n.段丘
terraced	a.段々の@a.テラス付きの
terraces	n.テラス@n.段々畑
terracotta	n.テラコッタ@n.素焼き
terrain	n.地形@n.地勢
terran	n.地球人@a.地球の
terrance	n.テランス
terrapin	n.キスイガメ
terrapins	n.カメ@n.テラピン
terrell	n.テレル
terrence	n.テレンス
terrestrial	a.地球の@a.陸上の
terri	n.テリ
terrible	a.ひどい@a.恐ろしい
terribly	ad.ひどく@ad.とても
terrier	n.テリア
terriers	n.テリア
terrific	a.すばらしい@a.すごい
terrified	a.怯えた@v.恐怖させた
terrifying	a.恐ろしい@v.怖がらせる
territorial	a.領土の@a.縄張りの
territories	n.領土@n.地域
territory	n.領土@n.地域
terror	n.テロ@n.恐怖
terrorism	n.テロリズム@n.テロ
terrorist	n.テロリスト@a.テロの
terrorists	n.テロリスト
terrors	n.恐怖@n.テロ
terry	n.テリー
terse	a.簡潔な@a.ぶっきらぼうな
tertiary	a.第三の@a.三次の
tesla	n.テスラ
tess	n.テス
tessa	n.テッサ
test	n.テスト@v.テストする
testa	n.種皮@n.テスタ
testable	a.テスト可能な@a.検証可能な
testament	n.遺言@n.証拠@n.聖書
testaments	n.遺言@n.証
testator	n.遺言者
testbed	n.テストベッド@n.試験台
tested	v.テストした@a.テストされた
tester	n.テスター@n.試験者
testers	n.テスター@n.試験者
testes	n.精巣@n.睾丸
testicle	n.睾丸@n.精巣
testicles	n.睾丸@n.精巣
testicular	a.睾丸の
testified	v.証言した@v.証明した
testifies	vi.証言する@vt.証明する
testify	vi.証言する@vt.証明する
testifying	v.証言する
testimonial	n.推薦状@a.証言の
testimonials	n.推薦文@n.証言
testimonies	n.証言@n.証拠
testimony	n.証言@n.証拠
testing	n.テスト@v.テストしている
testis	n.精巣@n.睾丸
testosterone	n.テストステロン@n.男性ホルモン
tests	n.テスト
tet	n.テト
tetanus	n.破傷風
tether	n.つなぎ綱@vt.つなぐ
tethered	a.つながれた@vt.つないだ
teton	n.ティトン
tetra	n.テトラ
tetracycline	n.テトラサイクリン
tetrahedron	n.四面体
teutonic	a.ゲルマン民族の@a.ドイツの
tex	n.テックス
texaco	n.テキサコ
texan	n.テキサス人@a.テキサスの
texans	n.テキサス人
texas	n.テキサス
text	n.テキスト@n.文章
textbook	n.教科書@n.テキスト
textbooks	n.教科書
textile	n.織物@n.繊維@a.繊維の
textiles	n.繊維製品@n.織物
texting	n.テキストメッセージ送信
texts	n.テキスト@n.文章
textual	a.テキストの@a.原文の
texture	n.テクスチャー@n.質感
textured	a.質感のある@a.模様のある
textures	n.テクスチャ@n.質感
texturing	n.テクスチャリング@vt.質感を付ける
thad	n.サド
thaddeus	n.タデウス
thai	a.タイの@n.タイ人@n.タイ語
thailand	n.タイ
thais	n.タイ人
thaler	n.ターラー
thales	n.タレス
thalia	n.タリア
thalidomide	n.サリドマイド
thallium	n.タリウム
thames	n.テムズ川
than	prep.〜より@conj.〜よりも
thane	n.領主@n.貴族
thanh	n.タン
thank	v.感謝する
thanked	v.感謝した
thankful	a.感謝している@a.ありがたい
thankfully	ad.ありがたいことに@ad.感謝して
thanking	v.感謝する
thanks	n.感謝@int.ありがとう
thanksgiving	n.感謝祭
thar	n.タール
tharp	n.サープ
that	pron.あれ@conj.ということ@a.その
thatch	n.藁ぶき@vt.藁で葺く
thatched	a.わらぶきの@vt.わらで葺いた
thatcher	n.サッチャー
thaw	v.解ける@n.解氷
thawed	vt.解凍した@vi.溶けた
thawing	n.解凍@vi.溶ける
the	art.—
thea	n.テア
theatre	n.劇場@n.シアター
theatres	n.劇場@n.映画館
theatrical	a.演劇の@a.芝居がかった
thebes	n.テーベ
thee	pron.汝を
theft	n.窃盗@n.盗難
thefts	n.窃盗@n.盗難
their	pron.彼らの
theirs	pron.彼らのもの
theism	n.有神論
thelma	n.セルマ
them	pron.彼らを@pron.彼女らを
thematic	a.テーマの@a.主題の
theme	n.テーマ@n.主題
themed	a.テーマのある@a.テーマに沿った
themes	n.テーマ
themselves	pron.彼ら自身
then	ad.その時@ad.それから
thence	ad.そこから@ad.それ以来
theocracy	n.神政政治@n.神権政治
theodore	n.セオドア
theologian	n.神学者
theologians	n.神学者
theological	a.神学の@a.神学的な
theology	n.神学
theophylline	n.テオフィリン
theorem	n.定理
theorems	n.定理
theoretic	a.理論上の@a.理論的な
theoretical	a.理論的な@a.理論上の
theoretically	ad.理論的に@ad.理論上
theories	n.理論
theorist	n.理論家@n.理論学者
theorists	n.理論家
theory	n.理論
theosophy	n.神智学
therapeutic	a.治療の@a.療法の
therapeutics	n.治療学@n.療法
therapies	n.療法@n.治療
therapist	n.セラピスト@n.療法士
therapists	n.セラピスト@n.療法士
therapy	n.療法@n.セラピー
there	ad.そこに@pron.そこ
thereafter	ad.その後@ad.以後
thereby	ad.それによって@ad.その結果
therefor	ad.そのために
therefore	ad.したがって@ad.それゆえ
therefrom	ad.そこから@ad.それから
therein	ad.その中に@ad.その点で
thereof	ad.それの@ad.その点について
thereon	ad.その上に@ad.それについて
theresa	n.テレサ
therese	n.テレーズ
thereto	ad.それに@ad.そこへ
thereunder	ad.その下に@ad.それに基づいて
thereupon	ad.その結果@ad.そこで
therewith	ad.それとともに@ad.そのあとすぐ
therm	n.サーム@n.熱量単位
thermal	a.熱の@a.温泉の@n.上昇気流
thermally	ad.熱的に@ad.温度的に
thermals	n.上昇気流（複数形）@n.防寒下着
thermistor	n.サーミスター
thermocouple	n.熱電対
thermodynamic	a.熱力学の
thermodynamics	n.熱力学
thermoelectric	a.熱電気の
thermometer	n.温度計@n.体温計
thermometers	n.温度計
thermoplastic	n.熱可塑性樹脂@a.熱可塑性の
thermos	n.魔法瓶@n.サーモス
thermostat	n.サーモスタット@n.温度調節器
thermostatic	a.サーモスタットの@a.自動温度調節の
thermostats	n.サーモスタット
theron	n.セロン
thesauri	n.シソーラス@n.類語辞典
thesaurus	n.シソーラス@n.類語辞典
these	pron.これら@a.これらの
theses	n.論文@n.学位論文
thesis	n.論文@n.主題
thessalonians	n.テサロニケ人
thessaloniki	n.テッサロニキ
theta	n.シータ
they	pron.彼ら@pron.彼女ら
thiamine	n.チアミン@n.ビタミンB1
thick	a.厚い@a.濃い
thicken	vt.濃くする@vi.厚くなる
thickened	vt.厚くした@a.濃くなった
thickening	n.濃厚化@v.濃くする
thickens	vt.濃くする@vi.厚くなる
thicker	a.より厚い@a.より濃い
thicket	n.茂み@n.やぶ
thickly	ad.厚く@ad.密集して
thickness	n.厚さ@n.厚み
thicknesses	n.厚さ@n.濃さ
thief	n.泥棒
thievery	n.窃盗@n.泥棒
thieves	n.泥棒@n.窃盗犯
thigh	n.太もも@n.腿
thighs	n.太もも
thimble	n.指ぬき@n.シンブル
thin	a.薄い@a.細い@vi.薄くなる
thine	pron.汝のもの@a.汝の
thing	n.物@n.こと
things	n.物@n.事柄
thingy	n.あれ@n.何とかいうもの
think	v.思う@v.考える
thinker	n.思想家@n.考える人
thinkers	n.思想家@n.考える人
thinking	n.考え@v.考えている
thinks	v.思う@v.考える
thinly	ad.薄く@ad.まばらに
thinned	vt.薄くした@a.間引きした
thinner	a.より薄い@n.シンナー
thinning	v.薄くする@n.間引き
third	a.3番目の@n.3分の1
thirdly	ad.第三に
thirds	n.3分の1
