the	art+m.یہ@art+f.یہ
rages	n+f.غصے@vi.غصے میں آتا ہے
iceman	n+m.برف والا
clumps	n+m.جھنڈ@vi.اکٹھا ہوتا ہے
pegged	v.کیل سے لگایا@a.مقرر
tithe	n+m.عشر@vt.عشر دینا
liberator	n+m.آزاد کرنے والا
rediscover	vt.دوبارہ دریافت کرنا
subordination	n+f.ماتحتی
lovecraft	n+m.لوکرافٹ
wavefront	n+f.موجی سطح
fictions	n+f.افسانے
deposed	v.معزول کیا
zuni	n+m.زونی
ketone	n+m.کیٹون
glazer	n+m.شیشہ لگانے والا
trending	v.رجحان میں@a.مقبول
geodesic	a.جیوڈیسک
disinterested	a.غیر جانبدار@a.بے لوث
forsake	vt.ترک کرنا
congruence	n+f.مطابقت
conspirators	n+m.سازشی
swinburne	n+m.سوئن برن
unresponsive	a.غیر متاثر
baboon	n+m.لنگور
romani	n+m.رومانی@a.رومانی
swamped	v.ڈوب گیا@a.مصروف
ensues	vi.پیروی کرتا ہے
omani	n+m.عمانی@a.عمانی
tenuous	a.کمزور@a.پتلا
surfactants	n+m.کشیدگی کم کرنے والے
toke	n+m.پف@vi.پینا
elated	a.خوش@v.خوش کیا
lucio	n+m.لوسیو
phenomenological	a.مظاہری
debriefing	n+f.رپورٹنگ
miniskirts	n+f.منی سکرٹ
buttered	v.مکھن لگایا
lentil	n+f.مسور
backer	n+m.حامی@n+m.سرپرست
albedo	n+m.البیڈو
pauli	n+m.پاؤلی
angora	n+f.انگورہ
redstone	n+m.ریڈ سٹون
stuffy	a.گھٹن بھرا@a.رسمی
cocky	a.گھمنڈی
pitchfork	n+f.گھاس کا کانٹا
depress	vt.اداس کرنا@vt.دبانا
mohegan	n+m.موہیگن
brazzaville	n+m.برازاویل
eccentricity	n+f.سنکی پن
beano	n+m.بینو
interconnections	n+f.باہمی روابط
willa	n+f.ولا
toiletry	n+f.بناؤ سنگھار کا سامان
transgression	n+f.خلاف ورزی@n+m.گناہ
idealized	v.مثالی بنایا
clings	vi.چمٹا رہتا ہے
flamboyant	a.بھڑکیلا@a.شوخ
exchangeable	a.قابل تبادلہ
stretchy	a.لچکدار
starburst	n+m.ستارے کا پھٹنا
neurologist	n+m.ماہر اعصاب
kitties	n+f.بلیاں
clergyman	n+m.پادری
dottie	n+f.ڈوٹی
scape	n+m.منظر
homicides	n+f.قتل
ronny	n+m.رونی
pledging	v.عہد کرنا@v.گروی رکھنا
dependants	n+m.زیر کفالت
hubris	n+f.تکبر
puddings	n+f.پڈنگ
partisans	n+m.حامی@n+m.چھاپہ مار
genitalia	n+f.جنسی اعضا
mausoleum	n+m.مقبرہ
idler	n+m.سست آدمی
waiving	v.چھوڑنا@v.معاف کرنا
swirls	n+f.گھومتی لہریں@vi.گھومتا ہے
dampers	n+m.روکنے والے
dawned	v.صبح ہوئی@v.سمجھ آئی
extrapolated	v.قیاس کیا
chaining	v.زنجیر سے باندھنا
carelessly	ad.لاپرواہی سے
defected	v.منحرف ہوا
northumbria	n+f.نارتھمبریا
dumbo	n+m.بیوقوف
holocene	n+m.ہولوسین
narcissus	n+m.نرگس
crusoe	n+m.کروسو
superconductors	n+m.فوق موصل
distillate	n+m.کشید شدہ مادہ
unweighted	a.غیر موزوں
skimming	v.سرسری پڑھنا@v.اوپر سے نکالنا
stomachs	n+m.پیٹ
bayard	n+m.بیارڈ
escalator	n+m.برقی سیڑھی
periwinkle	n+f.گھونگھا@n+m.نیلا پھول
namesake	n+m.ہم نام
choreographed	v.رقص ترتیب دیا
slaps	n+f.تھپڑ@vt.تھپڑ مارتا ہے
gravesend	n+m.گریوز اینڈ
lovemaking	n+f.محبت کا اظہار
farrow	n+f.سور کے بچے@vi.بچے دینا
annulment	n+f.منسوخی
maximilian	n+m.میکسیملین
gratuity	n+f.انعام@n+f.بخشش
reorganize	vt.دوبارہ منظم کرنا
spate	n+f.سیلاب@n+m.تسلسل
foothold	n+m.پاؤں رکھنے کی جگہ
belladonna	n+f.بیلاڈونا
sobering	a.سنجیدہ کرنے والا
carcinogenicity	n+f.کینسر پیدا کرنے کی صلاحیت
semis	n+f.سیمی فائنل
suppressors	n+m.دبانے والے
dingle	n+f.چھوٹی وادی
celina	n+f.سیلینا
madge	n+f.میج
gleam	n+f.چمک@vi.چمکنا
hydroponic	a.پانی میں کاشت
recalculate	vt.دوبارہ حساب کرنا
maltreatment	n+m.بد سلوکی
rudyard	n+m.رڈیارڈ
meerut	n+m.میرٹھ
relaxes	vt.آرام کرتا ہے@vi.ڈھیلا ہوتا ہے
supposition	n+f.قیاس
halos	n+m.ہالے
cracow	n+m.کراکو
dioceses	n+f.مذہبی علاقے
sprinkling	n+f.چھڑکاؤ@v.چھڑکنا
besieged	v.محاصرہ کیا@a.گھیرا ہوا
malaise	n+f.بے چینی@n+m.کسمپرسی
draperies	n+f.پردے
postdoc	n+m.پوسٹ ڈاکٹریٹ
biceps	n+m.بازو کے پٹھے
hydrant	n+m.پانی کا نل
darrow	n+m.ڈیرو
tinderbox	n+m.ماچس کا ڈبہ@n+f.خطرناک صورتحال
streetwise	a.چالاک
imprinting	n+f.نقش بندی@v.نقش کرنا
rococo	n+m.روکوکو طرز@a.روکوکو
nucleation	n+f.مرکز بندی
croce	n+m.کروچے
brabant	n+m.برابانت
superlative	a.اعلیٰ ترین@n+m.صیغہ افضل
deviance	n+f.انحراف
presser	n+m.دبانے والا
tetrahedron	n+m.چار وجہی
materialize	vi.ظاہر ہونا@vt.حقیقت بنانا
fondness	n+f.شوق@n+f.محبت
chamois	n+m.چمڑے کا کپڑا@n+m.پہاڑی بکرا
merchandiser	n+m.تاجر
blacklisted	v.کالی فہرست میں ڈالا
multiplicative	a.ضربی
metis	n+m.میٹس
urethra	n+f.پیشاب کی نالی
dwt	n+m.ڈیڈ ویٹ ٹن
retroactively	ad.ماضی سے نافذ
seared	v.جھلسایا@a.جھلسا ہوا
tinged	v.رنگا@a.رنگین
kilos	n+m.کلو
professorship	n+f.پروفیسری
multivitamin	n+m.ملٹی وٹامن
vientiane	n+f.وینٹیان
emoticon	n+m.ایموٹیکون
leeward	a.ہوا کی مخالف سمت@ad.ہوا سے بچاؤ
mercator	n+m.مرکیٹر
fruitless	a.بے نتیجہ
tamer	n+m.سدھانے والا@a.زیادہ سدھا
lyricist	n+m.نغمہ نگار
macromolecules	n+m.بڑے سالمات
fungicides	n+m.پھپھوندی مار دوائیں
amines	n+f.امائن
ticklish	a.گدگداہٹ والا@a.نازک
freetown	n+m.فری ٹاؤن
alienate	vt.بیگانہ کرنا
beneficially	ad.فائدہ مند طور پر
tugrik	n+m.ٹگرک
monotype	n+m.مونو ٹائپ
pigmented	a.رنگدار
ridership	n+f.مسافروں کی تعداد
athenaeum	n+m.ایتھینیم
faking	v.جعلی بنانا@v.بہانہ کرنا
displeasure	n+f.ناراضگی
endoplasmic	a.اینڈوپلازمی
connoisseurs	n+m.ماہر
motorised	a.موٹر والا
lomax	n+m.لوماکس
eck	n+m.ایک
mutilated	v.مسخ کیا@a.ٹکڑے ٹکڑے
usefully	ad.مفید طور پر
risotto	n+m.رزوٹو
follicles	n+m.پٹک
instituting	v.قائم کرنا
balzac	n+m.بالزاک
threefold	a.تین گنا@ad.تین گنا
conflicted	a.تذبذب میں@v.ٹکراؤ ہوا
retirements	n+f.ریٹائرمنٹ
innocently	ad.معصومیت سے
burris	n+m.بوریس
deepened	v.گہرا ہوا
clef	n+f.موسیقی کی کلید
dak	n+f.ڈاک
brainwashed	v.ذہن سازی کی@a.ذہن شستہ
gridlock	n+f.مکمل رکاوٹ
integrable	a.قابل انضمام
chalkboard	n+m.چاک بورڈ
anaemia	n+f.خون کی کمی
trice	n+f.لمحہ
jungles	n+m.جنگل
permian	a.پرمین دور کا@n+m.پرمین
unaffiliated	a.غیر ملحق
imitating	v.نقل کرنا
infractions	n+f.خلاف ورزیاں
shreds	n+m.ٹکڑے@vt.ٹکڑے کرتا ہے
treviso	n+m.ٹریویسو
backdrops	n+m.پس منظر
turkmen	n+m.ترکمان@a.ترکمانی
globulin	n+m.گلوبیولن
petitioned	v.درخواست دی
violator	n+m.خلاف ورزی کرنے والا
boxcar	n+m.مال گاڑی کا ڈبہ
sagan	n+m.ساگان
pounder	n+m.کوٹنے والا
kronor	n+f.کرونر
thad	n+m.تھیڈ
archway	n+m.محراب دار راستہ
tocopherol	n+m.ٹوکوفیرول
intercepts	vt.روکتا ہے@n+f.رکاوٹیں
tirelessly	ad.انتھک
adsorbed	v.سطح پر جذب ہوا
phospholipid	n+m.فاسفولپڈ
reiterates	vt.دہراتا ہے
oversaw	v.نگرانی کی
loudest	a.سب سے بلند
ultimatum	n+m.انتہائی مطالبہ
eyeshadow	n+m.آئی شیڈو
shuffled	v.گھسیٹ کر چلا@v.ترتیب بدلی
pushbutton	n+m.بٹن
shelling	n+f.گولہ باری@v.چھلکا اتارنا
observant	a.محتاط@a.باریک بین
unhappiness	n+f.ناخوشی
cinder	n+f.راکھ@n+m.کوئلہ
viaduct	n+m.پل
elastomers	n+m.لچکدار مادے
pelt	n+f.کھال@vt.مارنا
laurels	n+m.فتح کا تاج
methodical	a.منظم@a.طریقہ کار
wadi	n+f.وادی
secularism	n+m.سیکولرزم
engulfed	v.نگل لیا
bequests	n+f.وصیتیں
trekker	n+m.سفر کرنے والا
monotonous	a.یکسوئی@a.بورنگ
pakistanis	n+m.پاکستانی
glyphs	n+m.علامات
gigli	n+m.جگلی
thorp	n+m.تھورپ
glandular	a.غدود کا
pythagoras	n+m.فیثاغورث
aligns	vt.سیدھا کرتا ہے
rejuvenate	vt.جوان کرنا
operatic	a.اوپیرا کا
malevolent	a.بدخواہ
lessened	v.کم ہوا
stile	n+m.سیڑھیوں والا دروازہ
sherrill	n+m.شیرل
reciting	v.تلاوت کرنا@v.سنانا
xenia	n+f.زینیا
nadir	n+m.نشیب@n+m.کمترین نقطہ
recoup	vt.واپس حاصل کرنا
franchised	v.فرنچائز دی
relocatable	a.منتقلی کے قابل
warhead	n+m.جنگی سر
backfill	vt.پیچھے بھرنا@n+f.واپسی بھرائی
fascists	n+m.فاشسٹ
adjacency	n+f.قربت
antagonism	n+m.دشمنی
prisms	n+m.منشور
debby	n+f.ڈیبی
gorton	n+m.گورٹن
coinage	n+f.سکہ سازی
carmarthen	n+m.کارمارتھن
endgame	n+m.آخری مرحلہ
golan	n+m.جولان
unproductive	a.غیر پیداواری
banqueting	n+f.ضیافت
curbside	n+f.فٹ پاتھ کنارا
howrah	n+m.ہاوڑہ
planer	n+m.رندہ
hermaphrodite	n+m.ہجڑا@a.دو جنسی
gavel	n+m.ہتھوڑی
bassinets	n+f.بچوں کے پالنے
nefarious	a.بدکار@a.مکروہ
stoppage	n+f.رکاوٹ
defray	vt.ادائیگی کرنا
laconia	n+f.لیکونیا
inputting	v.داخل کرنا
dimming	v.مدھم کرنا@a.مدھم ہوتا
endangering	v.خطرے میں ڈالنا
zealots	n+m.جنونی
weighty	a.بھاری@a.اہم
goof	n+f.غلطی@vi.بھول کرنا
landmine	n+f.بارودی سرنگ
oeuvre	n+m.مجموعہ کار
subsided	v.کم ہوا@v.دھنسا
sahib	n+m.صاحب
notifier	n+m.اطلاع دینے والا
gasping	v.ہانپنا@a.ہانپتا ہوا
valerian	n+f.سنبل الطیب
idiocy	n+f.حماقت
frenzied	a.دیوانہ@a.پاگل
postulate	vt.فرض کرنا@n+m.مفروضہ
enrollee	n+m.شامل شخص
authenticating	v.تصدیق کرنا
senor	n+m.سینیئر
trespassing	n+f.بے جا دخل@v.گھسنا
profs	n+m.پروفیسر
foams	n+f.جھاگ@vi.جھاگ نکلتا ہے
orbitals	n+m.مدار
hammerhead	n+m.ہتھوڑے کا سر
dotcom	n+f.ڈاٹ کام
pendent	a.لٹکتا ہوا@n+m.لاکٹ
edifice	n+f.عمارت
vermin	n+m.کیڑے مکوڑے
stalemate	n+f.تعطل@vt.تعطل میں ڈالنا
motrin	n+m.موٹرن
loosening	v.ڈھیلا کرنا@n+f.ڈھیل
classifies	vt.درجہ بندی کرتا ہے
ischia	n+f.اسکیا
ankh	n+m.انخ
incurs	vt.متحمل ہوتا ہے
dialectic	n+f.جدلیات@a.جدلیاتی
rationalization	n+f.دلیل سازی
brokering	v.ثالثی کرنا
tantalizing	a.للچانے والا
rhinoceros	n+m.گینڈا
adjutant	n+m.نائب افسر
malignancies	n+f.بدخیمیاں
spitz	n+m.سپٹز
limassol	n+m.لیماسول
lobbied	v.لابنگ کی
sickening	a.متلی دینے والا
splat	n+f.چپٹ@int.چھپاک
nostradamus	n+m.نوسٹراڈیمس
pondered	v.غور کیا
gallium	n+m.گیلیم
mannered	a.رویے والا
sorbet	n+m.شربت
snows	n+f.برف@vi.برف پڑتی ہے
steeper	a.زیادہ کھڑا
rangoon	n+m.رنگون
depriving	v.محروم کرنا
stalwart	a.مضبوط@n+m.وفادار حامی
sharia	n+f.شریعت
topiary	n+f.درختوں کی تراش
verandah	n+m.برآمدہ
buttery	a.مکھن جیسا@n+f.کھانے کی جگہ
deformity	n+f.بدشکلی
cronies	n+m.قریبی دوست
extendable	a.قابل توسیع
pella	n+f.پیلا
optometrist	n+m.ماہر بصارت
undervalued	v.کم قیمت لگائی@a.کم قدر
bogey	n+m.بوگی@n+m.بھوت
kana	n+f.کانا
pipette	n+f.پائپیٹ
invalidity	n+f.ناجائزیت
coveralls	n+m.اوورال
soundly	ad.اچھی طرح@ad.مضبوطی سے
isolator	n+m.علیحدہ کرنے والا
dank	a.سیلا@a.نم
zany	a.مزاحیہ@n+m.مسخرہ
pinkerton	n+m.پنکرٹن
austral	a.جنوبی
canvases	n+f.کینوس
applauds	vt.تالیاں بجاتا ہے
weakens	vt.کمزور کرتا ہے@vi.کمزور ہوتا ہے
interferometer	n+m.تداخل پیما
barbican	n+m.برج
cerf	n+m.سرف
criminally	ad.مجرمانہ طور پر
lariat	n+f.پھندے والی رسی
psychopathology	n+f.نفسیاتی امراض
cartoonists	n+m.کارٹونسٹ
indira	n+f.اندرا
redraw	vt.دوبارہ کھینچنا
pursuance	n+f.تعاقب
beng	n+m.بینگ
scapegoat	n+m.قربانی کا بکرا
faceless	a.بے چہرہ
oregonian	n+m.اوریگونی@a.اوریگونی
aftershock	n+m.جھٹکا بعد
gena	n+f.جینا
spiro	n+m.سپائرو
whiteboards	n+m.وائٹ بورڈ
strategists	n+m.ماہر حکمت عملی
loti	n+m.لوٹی
hydrotherapy	n+f.آبی علاج
marionette	n+f.کٹھ پتلی
anathema	n+f.لعنت
nitty	a.بنیادی
quintile	n+m.پانچواں حصہ
dehumidifier	n+m.نمی دور کرنے والا
industrials	n+m.صنعتی سامان
bouncers	n+m.چوکیدار
mages	n+m.جادوگر
roseanne	n+f.روزین
trifle	n+f.معمولی بات@vi.کھیلنا
forefathers	n+m.آباؤ اجداد
piraeus	n+m.پیرائیس
xxvi	n+m.چھبیس
workhorse	n+m.محنتی@n+m.بوجھ اٹھانے والا
iterated	v.دہرایا
kyd	n+m.کڈ
pooping	v.تھکا دینا
eradicated	v.مٹا دیا
preferentially	ad.ترجیحی طور پر
fraternities	n+f.بھائی چارے
diuretic	n+m.پیشاب آور@a.پیشاب آور
zimbabwean	n+m.زمبابوے والا@a.زمبابوے کا
unexpired	a.غیر منقضی
westmorland	n+m.ویسٹمورلینڈ
toga	n+f.رومی لباس
refractor	n+m.انعطافی دوربین
dysphagia	n+f.نگلنے میں دشواری
inadmissible	a.ناقابل قبول
redesigning	v.دوبارہ ڈیزائن کرنا
milken	n+m.ملکن
zooplankton	n+m.سمندری جانور
philatelic	a.ڈاک ٹکٹ کا
berths	n+f.بستر@vt.جگہ دیتا ہے
modularity	n+f.ماڈیولریٹی
innocuous	a.بے ضرر
heroines	n+f.ہیروئنیں
retake	vt.دوبارہ لینا@n+m.دوبارہ فلم
unpacked	v.کھولا@a.کھلا ہوا
marengo	n+m.مارینگو
gonzalo	n+m.گونزالو
quiche	n+f.کیچ
resales	n+f.دوبارہ فروخت
clenched	v.بھینچا@a.مضبوطی سے بند
maduro	n+m.مادورو
evaporate	vi.بخارات بننا@vt.بخارات بنانا
transcriber	n+m.نقل نویس
midwinter	n+m.عین سردی
notarized	v.نوٹری سے تصدیق کرائی
neocons	n+m.نئے قدامت پسند
franchisor	n+m.فرنچائز دینے والا
compagnie	n+f.کمپنی
bellini	n+m.بیلینی
undoing	n+f.تباہی@v.کھولنا
vying	v.مقابلہ کرنا
communes	n+f.کمیون@vi.بات چیت کرتا ہے
cassava	n+f.کساوا
bedspreads	n+f.بستر پوش
pooch	n+m.کتا
gripper	n+m.پکڑنے والا
disappointments	n+f.مایوسیاں
glace	a.چمکدار@n+f.برف
negated	v.نفی کی
musicianship	n+f.موسیقی کی مہارت
puns	n+f.مزاح
adios	int.الوداع
purview	n+m.دائرہ کار
hilt	n+f.قبضہ
dyfed	n+m.ڈائفڈ
devoured	v.نگل لیا
overpass	n+m.اوور پاس
inwardly	ad.اندرونی طور پر
goaltender	n+m.گول کیپر
speedometer	n+m.رفتار پیما
adeline	n+f.ایڈلین
smothered	v.دبا دیا@v.گلا گھونٹا
carteret	n+m.کارٹریٹ
fatwa	n+m.فتویٰ
eulogy	n+f.تعریفی تقریر
bottomed	a.تہہ والا@v.تہہ ٹھہری
superscript	n+m.بالائی حرف
rwandan	n+m.روانڈی@a.روانڈی
proteinase	n+f.پروٹین توڑنے والا
siva	n+m.شیوا
lond	n+m.لنڈن
pernicious	a.مہلک@a.نقصان دہ
haircuts	n+f.بال کٹائی
discriminant	n+m.فارق
continua	n+f.تسلسل
babbitt	n+m.بیبٹ
reims	n+m.ریمز
scrimmage	n+f.دھکم پیل
multiplexers	n+m.ملٹی پلیکسر
privates	n+m.سپاہی@n+f.شرمگاہ
whims	n+f.سنک
hew	vt.کاٹنا
carnivore	n+m.گوشت خور
egalitarian	a.مساوات پسند@n+m.مساوات پسند
mortgagee	n+m.رہن رکھنے والا
skirmish	n+f.جھڑپ@vi.جھڑپ کرنا
roan	a.سرخی مائل@n+m.چترا گھوڑا
nags	vt.تنگ کرتا ہے@n+f.ٹٹو
anyplace	ad.کہیں بھی
ventilating	v.ہوا دینا@n+f.تہویہ
retreating	v.پیچھے ہٹنا@a.پسپا ہوتا
mohave	n+m.موہاوے
nonsensical	a.بکواس@a.بے معنی
gallows	n+f.پھانسی کا تختہ
rheumatism	n+m.گٹھیا
devotee	n+m.عقیدت مند
cowardice	n+f.بزدلی
fabled	a.مشہور@a.افسانوی
mingus	n+m.منگس
fangs	n+m.دانت
animosity	n+f.دشمنی
dosimetry	n+f.خوراک پیمائی
smelter	n+m.بھٹی
dynamism	n+m.حرکیت
wily	a.چالاک
rabat	n+m.رباط
wiles	n+f.چالیں
ensue	vi.پیش آنا
manmade	a.انسان ساختہ
somaliland	n+m.صومالی لینڈ
conto	n+m.کونٹو
jaffa	n+f.یافا
sagging	v.جھکنا@a.لٹکا ہوا
statics	n+f.جامدیات
crumbled	v.ٹکڑے ہوا@a.ٹوٹا ہوا
rucksack	n+m.پشتی بستہ
janette	n+f.جینیٹ
sybil	n+f.سبل
cupcake	n+m.کپ کیک
pekin	n+m.پیکن
defied	v.للکارا@v.نافرمانی کی
zamora	n+f.زمورا
hopelessness	n+f.نا امیدی
errand	n+m.کام
yeoman	n+m.چھوٹا زمیندار
slimy	a.لیس دار@a.چاپلوس
raggedy	a.پھٹا پرانا
coerce	vt.مجبور کرنا
payloads	n+m.بوجھ
overhang	n+m.نکلا ہوا حصہ@vi.لٹکنا
customizations	n+f.ترمیمات
stunningly	ad.حیرت انگیز طور پر
sobbing	v.سسکنا@n+f.سسکیاں
muslin	n+f.ململ
hugger	n+m.گلے لگانے والا
prequel	n+m.پچھلی کہانی
deliberative	a.مشاورتی
tattooing	n+f.گودنا@v.گودنا
shekels	n+m.شیکل
talley	n+m.ٹیلی
estoppel	n+m.قانونی روک
emigrant	n+m.مہاجر
dodo	n+m.ڈوڈو
torr	n+m.ٹور
supercool	vt.انتہائی ٹھنڈا کرنا@a.بہت اچھا
contaminate	vt.آلودہ کرنا
plovdiv	n+m.پلووڈیو
bassinet	n+f.بچے کا پالنا
taillights	n+f.پچھلی بتیاں
visionaries	n+m.دور اندیش
salesmen	n+m.سیلزمین
thorny	a.کانٹے دار@a.مشکل
hibernation	n+f.سردی کی نیند
ponders	vt.غور کرتا ہے
innkeepers	n+m.سرائے والے
epistles	n+f.خطوط
aromatics	n+m.خوشبودار مادے
interplanetary	a.بین سیاراتی
discontinuing	v.بند کرنا
bork	vt.رد کرنا
trampled	v.روندا
sealers	n+m.مہر لگانے والے
interbank	a.بین بینک
hullabaloo	n+m.شور شرابہ
erratum	n+m.غلطی
contreras	n+m.کونٹریراس
anthracite	n+m.سیاہ کوئلہ
novgorod	n+m.نووگوروڈ
earbud	n+m.ائربڈ
coastlines	n+f.ساحلی پٹیاں
meditating	v.مراقبہ کرنا
trunking	n+f.ٹرنکنگ
foxtrot	n+m.فاکسٹراٹ
rosanna	n+f.روزانا
patchouli	n+m.پچولی
inequities	n+f.ناانصافیاں
testes	n+m.خصیے
defaulting	v.چوک کرنا
alpert	n+m.الپرٹ
merciless	a.بے رحم
borer	n+m.چھیدنے والا
originators	n+m.بانی
censoring	v.سنسر کرنا
oriole	n+f.پیلی چڑیا
slocum	n+m.سلوکم
clump	n+m.جھنڈ@vi.بھاری قدموں سے چلنا
reusing	v.دوبارہ استعمال کرنا
mensa	n+f.مینسا
shiner	n+m.چمکدار@n+f.نیلی آنکھ
rhesus	n+m.ریسس
transcribe	vt.نقل کرنا
invalidated	v.منسوخ کیا
shenanigans	n+f.شرارتیں
atrocity	n+f.ظلم@n+f.سفاکی
elinor	n+f.ایلینور
proportionally	ad.تناسب سے
untrained	a.غیر تربیت یافتہ
thrusts	n+f.دھکے@vt.دھکیلتا ہے
championed	v.حمایت کی
billable	a.قابل فیس
tiresome	a.تھکا دینے والا
splashed	v.چھینٹے مارے
givers	n+m.دینے والے
antonyms	n+m.متضاد الفاظ
cockroaches	n+m.لال بیگ
faraway	a.دور دراز
lune	n+f.ہلال
underwritten	v.ضمانت دی
tarps	n+f.ترپال
sociologists	n+m.ماہر سماجیات
ellesmere	n+m.ایلسمیئر
ostomy	n+f.آسٹومی
ingest	vt.نگلنا
gazebos	n+m.چھتری دار مکان
sirloin	n+m.کمر کا گوشت
moccasins	n+m.موکاسن جوتے
parthenon	n+m.پارتھینون
abounds	vi.بھرا ہوتا ہے
salutes	n+f.سلامیاں@vt.سلام کرتا ہے
collided	v.ٹکرایا
tilde	n+f.ٹلڈ
potash	n+m.پوٹاش
valery	n+m.ویلری
boarders	n+m.بورڈر
insp	n+m.انسپکٹر
lapping	v.چاٹنا@n+f.لہریں
chivalry	n+f.جوانمردی
commonality	n+f.مشترکہ بات
midis	n+m.میڈی
regrettably	ad.افسوس سے
playbook	n+m.کھیل کی کتاب
frustrate	vt.ناکام بنانا
exhibitionists	n+m.نمائش پسند
sideboard	n+m.سائیڈ بورڈ
copland	n+m.کوپلینڈ
poaching	n+f.غیر قانونی شکار@v.ابالنا
montmartre	n+m.مونمارتر
muffled	v.دبا دیا@a.دبی ہوئی
vincennes	n+m.ونسینز
inlays	n+f.جڑائی@vt.جڑتا ہے
lockets	n+f.لاکٹ
whitey	n+m.گورا
foiled	v.ناکام بنایا
guyanese	n+m.گیانی@a.گیانی
laryngeal	a.حنجرے کا
outfielder	n+m.باہری کھلاڑی
flocked	v.اکٹھے ہوئے
slapstick	n+m.مزاحیہ ڈرامہ@a.بھدا مزاح
connaught	n+m.کوناٹ
subculture	n+f.ذیلی ثقافت
modded	a.ترمیم شدہ
skids	n+f.پھسلن@vi.پھسلتا ہے
tether	n+f.رسی@vt.باندھنا
hyperbole	n+f.مبالغہ
marathons	n+f.میراتھن
skeet	n+m.سکیٹ شوٹنگ
toucan	n+m.ٹوکان پرندہ
masterclass	n+f.ماسٹر کلاس
borghese	n+m.بورگیس
oxidizing	v.آکسائیڈ بنانا
intergalactic	a.بین کہکشانی
brahman	n+m.برہمن
phosphorous	a.فاسفورس والا
charlemagne	n+m.شارلمین
pulsing	v.دھڑکنا@a.دھڑکتا
photocopiers	n+f.فوٹو کاپی مشین
obligor	n+m.ذمہ دار
matcher	n+m.ملانے والا
heralds	n+m.منادی@vt.اعلان کرتا ہے
sterility	n+f.بانجھ پن@n+f.جراثیم سے پاکی
lessors	n+m.کرایہ دینے والے
dynasties	n+f.سلطنتیں
prowl	vi.گھومنا@n+f.گشت
luminaries	n+m.روشن ستارے
karats	n+m.کیرٹ
bridger	n+m.پل بنانے والا
amiable	a.ملنسار@a.خوش اخلاق
piecewise	ad.ٹکڑوں میں
sittings	n+f.نشستیں
undulating	v.لہرانا@a.لہردار
recharging	v.دوبارہ چارج کرنا
thatched	a.پھوس کی چھت والا
felice	n+f.فیلیس
urinal	n+m.پیشاب گاہ
payphone	n+m.پے فون
rockfish	n+f.پتھر مچھلی
duodenal	a.اثنا عشری
uninstalled	v.ان انسٹال کیا
irrevocably	ad.واپس نہ ہونے والے طور پر
coworker	n+m.ساتھی کارکن
cyclades	n+f.سائیکلیڈز
bunyan	n+m.بنیان
screenplays	n+f.فلمی کہانیاں
shiites	n+m.شیعہ
hinders	vt.رکاوٹ ڈالتا ہے
tubers	n+m.کند
lactobacillus	n+m.لیکٹو بیسیلس
unrelenting	a.بے رحم@a.مسلسل
kandahar	n+m.قندھار
expeditiously	ad.جلدی سے
antiquated	a.فرسودہ
jerked	v.جھٹکا دیا
sputtering	v.تھوکنا@n+f.پھٹ پھٹ
femininity	n+f.نسوانیت
opulent	a.امیر@a.شاندار
deferment	n+f.التوا
mots	n+m.الفاظ
dimly	ad.مدھم طور پر
coconuts	n+m.ناریل
confuses	vt.الجھاتا ہے
executors	n+m.وصیت کار
waders	n+f.لمبے جوتے@n+m.پانی میں چلنے والے پرندے
squall	n+f.آندھی@vi.چیخنا
rya	n+f.ریا قالین
nothingness	n+f.عدم
hellfire	n+f.جہنم کی آگ
hebrides	n+f.ہیبرائیڈز
havering	v.ہچکچانا
montfort	n+m.مونٹفورٹ
chokes	vt.گلا گھونٹتا ہے@n+f.رکاوٹیں
demeter	n+f.ڈیمیٹر
houdini	n+m.ہوڈینی
bridgette	n+f.برجٹ
antagonistic	a.دشمنانہ
cinque	n+m.پانچ
bowery	n+m.باؤری
immovable	a.غیر متحرک
caterpillars	n+f.کیڑے
outlier	n+m.دور افتادہ@n+m.غیر معمولی
naira	n+f.نائرا
consigned	v.بھیجا@v.سپرد کیا
pret	a.تیار
camshaft	n+m.کیم شافٹ
exotica	n+f.غیر ملکی چیزیں
scooped	v.اٹھایا@v.خبر لی
bijou	n+m.زیور@a.خوبصورت
innervation	n+f.عصبی رسائی
reefer	n+m.ریفر@n+f.مختصر جیکٹ
exerts	vt.استعمال کرتا ہے
hibernia	n+f.ہائبرنیا
constraining	v.روکنا@a.محدود کرنے والا
idling	v.بے کار بیٹھنا@n+f.بے کاری
lepton	n+m.لیپٹون
cursory	a.سرسری
poznan	n+m.پوزنان
kingstown	n+m.کنگسٹاؤن
dissipate	vt.بکھیرنا@vi.ختم ہونا
batsman	n+m.بلے باز
hymen	n+f.بکارت
wavelets	n+f.چھوٹی لہریں
cogs	n+m.دندانے
desorption	n+f.سطح سے اخراج
refuted	v.رد کیا
bellflower	n+m.گھنٹی پھول
watertight	a.پانی بند
ionian	a.آئیونین@n+m.آئیونین
americanism	n+m.امریکی محاورہ
photocopier	n+f.فوٹو کاپی مشین
talc	n+m.طلق
pessimism	n+m.مایوسی پسندی
penises	n+m.عضو تناسل
vehemently	ad.شدت سے
gwendolyn	n+f.گوینڈولن
nairn	n+m.نیرن
velvety	a.مخملی
