the	art.ال
brainwashing	n+m.غسيل دماغ
duchy	n+f.دوقية
disconnecting	v.يفصل@n+m.فصل
malacca	n+f.ملقا
wilmer	n+m.ويلمر
carrion	n+f.جيفة
summarily	ad.باختصار@ad.فوراً
sphincter	n+f.عضلة عاصرة
heine	n+m.هايني
infill	n+m.ملء@v.يملأ
ejaculations	n+f.قذفات
leopards	n+m.فهود
etude	n+f.دراسة موسيقية
stereotyping	n+m.تنميط@v.ينمّط
rearranging	v.يُعيد ترتيب@n+f.إعادة ترتيب
geographies	n+f.جغرافيات
sanctified	v.قدّس@a.مُقدَّس
handicapper	n+m.مُعيق@n+m.خبير رهانات
plantar	a.أخمصي
tradesmen	n+m.حرفيون
excitedly	ad.بحماس@ad.بإثارة
quarrying	n+m.استخراج حجارة@v.يستخرج
approachable	a.ودود@a.سهل الوصول
braced	v.تأهب@a.مُدعَّم
sweetener	n+m.مُحلٍّ
braised	v.طهى@a.مطهو
gaunt	a.نحيل@a.هزيل
nourished	v.غذّى@a.مُغذّى
spigot	n+m.صنبور@n+f.سدادة
skilling	n+m.سكيلينغ
nailer	n+m.مسمّر
cornstarch	n+m.نشا ذرة
hepatocytes	n+f.خلايا كبدية
coupes	n+f.سيارات كوبيه
effie	n+f.إيفي
mauricio	n+m.ماوريسيو
daffodils	n+f.نرجسيات
chloroplast	n+f.بلاستيدة خضراء
pollute	v.يُلوّث
buzzword	n+f.كلمة رنانة
pistachio	n+m.فستق
riverbank	n+f.ضفة نهر
predominately	ad.بشكل غالب
metalware	n+f.أدوات معدنية
pomp	n+f.أُبّهة@n+m.فخامة
giza	n+f.الجيزة
pretzel	n+m.بريتزل
warping	n+m.انحناء@v.ينحني
connotations	n+f.دلالات
wilber	n+m.ويلبر
yardstick	n+m.مقياس
neutrophil	n+m.خلية متعادلة
supernatant	n+m.طافٍ@a.طافٍ
segmental	a.قطاعي
multitudes	n+f.جموع
imperium	n+f.إمبراطورية
supercharger	n+m.شاحن فائق
thicknesses	n+f.سماكات
sprouting	v.ينبت@n+m.إنبات
spew	v.يقذف@v.يتقيأ
vestibular	a.دهليزي
orth	n+m.أورث
deceleration	n+m.تباطؤ
summoning	v.يستدعي@n+m.استدعاء
consignee	n+m.مُرسَل إليه
aldehyde	n+m.ألدهيد
pronged	a.ذو شُعَب
baring	v.يكشف@n+m.كشف
jacked	v.رفع@a.مرفوع
annabel	n+f.أنابيل
tartar	n+m.جير@n+m.تتار
brownish	a.بُني اللون
cropland	n+f.أرض زراعية
nazism	n+f.نازية
operationally	ad.تشغيلياً
testicle	n+f.خصية
rejoin	v.يلتحق مجدداً@v.يرد
rosettes	n+f.وردات
pinter	n+m.بنتر
stratigraphic	a.طبقي
dundalk	n+f.دندالك
snipers	n+m.قناصون
gosport	n+f.غوسبورت
rubrics	n+f.عناوين
kerouac	n+m.كيرواك
volition	n+f.إرادة@n+m.اختيار
cooperated	v.تعاون
crawls	v.يزحف@n+f.زحفات
suave	a.لبق@a.أنيق
riddance	n+f.تخلص
gulp	v.يبتلع@n+f.جرعة
greaves	n+f.واقيات ساق
lottie	n+f.لوتي
lurk	v.يتربص@v.يكمن
amoco	n+f.أموكو
smudge	n+f.لطخة@v.يلطخ
tulle	n+m.تول
gabby	a.ثرثار@n+f.غابي
helplessness	n+f.عجز@n+m.قلة حيلة
dumbbells	n+f.دمبلز
circumstantial	a.ظرفي@a.غير مباشر
dermot	n+m.ديرموت
ironwood	n+m.خشب حديدي
adiabatic	a.كظوم
pend	v.يعلّق@v.ينتظر
naturalism	n+f.طبيعانية
patties	n+f.فطائر لحم
accelerometer	n+m.مقياس تسارع
galloping	v.يعدو@a.سريع جداً
indestructible	a.غير قابل للتدمير
principality	n+f.إمارة
penobscot	n+m.بينوبسكوت
micky	n+m.ميكي
johnathan	n+m.جوناثان
alisha	n+f.أليشا
gambier	n+m.غامبير
indulging	v.ينغمس@a.منغمس
darrel	n+m.داريل
allusion	n+f.إشارة@n+m.تلميح
laminator	n+m.آلة تغليف
bosh	n+m.هراء
samaria	n+f.السامرة
smeared	v.لطخ@a.ملطخ
quadrature	n+f.تربيع
liqueurs	n+f.مشروبات كحولية حلوة
catskills	n+f.كاتسكيلز
tablecloths	n+f.مفارش طاولات
herder	n+m.راعٍ
outfall	n+m.مصب
unzipped	v.فك السحاب@a.مفتوح السحاب
winifred	n+f.وينيفريد
parasol	n+f.مظلة شمسية
interchangeably	ad.بالتبادل
concurs	v.يوافق@v.يتزامن
deformations	n+f.تشوهات
farting	v.يضرط@n+m.ضراط
nonspecific	a.غير محدد
coloration	n+m.تلوين@n+f.صبغة
culling	v.ينتقي@n+m.انتقاء
stingy	a.بخيل@a.شحيح
zealot	n+m.متعصب
toot	v.يُزمّر@n+f.زمّارة
succinctly	ad.باختصار
sisley	n+m.سيسلي
gooey	a.لزج@a.عاطفي مُفرط
bielefeld	n+f.بيليفيلد
devotes	v.يُكرّس@v.يخصص
manet	n+m.مانيه
turmeric	n+m.كركم
carnelian	n+m.عقيق أحمر
vigour	n+f.حيوية@n+m.نشاط
geom	n+f.هندسة
abstracting	v.يُلخّص@n+m.تجريد
snares	n+f.فخاخ@v.يصطاد
parietal	a.جداري
underpants	n+f.ملابس داخلية
appleseed	n+m.أبلسيد
mandating	v.يُلزم@n+m.إلزام
bidet	n+m.بيديه
transdermal	a.عبر الجلد
illegible	a.غير مقروء
recreating	v.يُعيد إنشاء@n+f.إعادة إنشاء
snot	n+m.مخاط
mortars	n+f.هاونات@n+f.مدافع هاون
didst	v.فعلت
ductile	a.قابل للسحب@a.مطيل
dimensionless	a.بلا أبعاد
curiosities	n+f.فضوليات@n+f.تحف
wither	v.يذبل@v.يضمحل
contractually	ad.تعاقدياً
courtyards	n+f.ساحات
calderon	n+m.كالديرون
flattening	v.يُسطّح@n+m.تسطيح
sterilized	v.عقّم@a.مُعقَّم
insulate	v.يعزل
cobblestone	n+m.حصى مستدير
showplace	n+m.مكان عرض
stockpiles	n+f.مخزونات@v.يخزن
seamed	a.ذو درز
meteorologist	n+m.عالم أرصاد جوية
colonoscopy	n+m.تنظير قولون
calmed	v.هدّأ@a.هادئ
flattered	v.تملّق@a.مُتملَّق له
babbling	v.يثرثر@n+m.ثرثرة
alkaloids	n+f.قلويدات
centrality	n+f.مركزية
pisses	v.يتبول@n+f.بولات
campaigned	v.قام بحملة
admirably	ad.بشكل مُعجَب
vipers	n+f.أفاعٍ
twinning	n+m.توأمة@v.يُوأم
taster	n+m.متذوق
nightfall	n+m.حلول الليل
sourdough	n+m.عجينة حامضة
croat	n+m.كرواتي@a.كرواتي
ashtrays	n+f.منافض سجائر
punters	n+m.مراهنون
dropper	n+f.قطارة
wack	a.مجنون@n+m.أحمق
hurl	v.يقذف@v.يتقيأ
loyalists	n+m.موالون
kendo	n+m.كيندو
xenophobia	n+f.كراهية الأجانب
dory	n+f.قارب صغير@n+m.سمك دوري
sheltering	v.يُؤوي@n+m.إيواء
krypton	n+m.كريبتون
heisenberg	n+m.هايزنبرغ
nary	a.ولا واحد
reconfigurable	a.قابل لإعادة التهيئة
doz	n+f.دزينة
bushman	n+m.رجل الأدغال
forego	v.يتخلى عن@v.يسبق
castile	n+f.قشتالة
woodwinds	n+f.آلات نفخ خشبية
ricotta	n+f.ريكوتا
motorways	n+f.طرق سريعة
edelweiss	n+m.إديلويس
humidor	n+m.صندوق ترطيب
vacationing	v.يقضي إجازة@n+m.إجازة
irreparable	a.لا يُصلَح
immunities	n+f.حصانات
broiled	v.شوى@a.مشوي
superstitious	a.خرافي
airdrie	n+f.إيردري
tangy	a.لاذع@a.حامض
evangelists	n+m.مبشرون
insides	n+f.أحشاء@n+m.باطن
sedative	n+m.مُهدّئ@a.مُهدّئ
farina	n+f.فارينا@n+m.دقيق
cutaway	n+m.رسم مقطعي@a.مقطوع
defraud	v.يحتال@v.يغش
toothed	a.مُسنَّن
artsy	a.فني@a.متصنع الفن
transferor	n+m.ناقل الملكية
bygone	a.غابر@n+m.ماضٍ
cliches	n+f.عبارات مُبتذلة
nosferatu	n+m.نوسفيراتو
klimt	n+m.كليمت
wilds	n+f.براري
intercession	n+f.شفاعة@n+m.توسط
lettered	a.متعلم@a.مُحرَّف
sackville	n+f.ساكفيل
hotlines	n+f.خطوط ساخنة
reaffirms	v.يُؤكد مجدداً
apricots	n+f.مشمش
darkening	v.يُعتّم@n+m.إعتام
golds	n+m.ذهبيات
depressions	n+f.كآبات@n+f.انخفاضات
ranching	n+m.تربية ماشية
toasting	v.يُحمّص@n+m.نخب
toothpick	n+m.عود أسنان
exhale	v.يزفر
forwarders	n+m.وكلاء شحن
likable	a.محبوب@a.لطيف
brads	n+f.مسامير صغيرة
whirling	v.يدور@a.دائر
doghouse	n+m.بيت كلب
altars	n+f.مذابح
abolishing	v.يُلغي@n+m.إلغاء
chauncey	n+m.تشونسي
grebe	n+m.غطاس
standup	a.واقف@n+f.كوميديا ارتجالية
playgirl	n+f.فتاة لعوب
flexion	n+m.انثناء
recesses	n+f.عُطَل@n+f.تجاويف
kinsman	n+m.قريب
ibex	n+m.وعل
geomagnetic	a.جيومغناطيسي
lowestoft	n+f.لويستوفت
blobs	n+f.كتل@n+f.نقاط
footers	n+f.تذييلات
droppings	n+f.فضلات
designator	n+m.مُحدِّد
causative	a.سببي
payed	v.دفع@v.أرخى
loveseat	n+f.أريكة صغيرة
karyn	n+f.كارين
overworked	v.أرهق@a.مُرهَق
uncontested	a.غير متنازع عليه
cecile	n+f.سيسيل
orbs	n+f.كرات@n+f.أجرام
cardiologists	n+m.أطباء قلب
mutable	a.قابل للتغيير
militarily	ad.عسكرياً
delicacies	n+f.أطايب
inflating	v.يُنفخ@n+m.تضخيم
sputnik	n+m.سبوتنيك
barometric	a.بارومتري
regrowth	n+m.نمو مجدد
lusaka	n+f.لوساكا
cybersex	n+m.جنس إلكتروني
doughnut	n+f.دونات
scorching	a.حارق@v.يحرق
cribbage	n+f.كريباج
rondo	n+m.روندو
coffins	n+f.توابيت
typescript	n+m.مخطوطة مطبوعة
piste	n+f.منحدر تزلج
jove	n+m.جوبيتر
cashed	v.صرف@a.مُصرَّف
ushers	n+m.مرشدون@v.يُرشد
enos	n+m.إينوس
jewry	n+f.يهودية@n+m.يهود
barfly	n+m.مُدمن حانات
vegetarianism	n+f.نباتية
extractors	n+f.مستخرجات
dictaphone	n+m.جهاز إملاء
copperfield	n+m.كوبرفيلد
martinis	n+f.مارتينيات
envisions	v.يتصور@v.يتخيل
flexibly	ad.بمرونة
whoop	n+f.صيحة@v.يصيح
reposition	v.يُعيد وضع
cacao	n+m.كاكاو
hobbyists	n+m.هواة
anat	n+m.تشريح
obsoletes	v.يُقادم@n+f.أشياء بالية
mammogram	n+m.تصوير ثدي
webcasting	n+m.بث عبر الإنترنت
soggy	a.مُبلل@a.رطب
ecologist	n+m.عالم بيئة
ararat	n+m.أرارات
reinstalling	v.يُعيد تثبيت@n+f.إعادة تثبيت
gendered	a.جنساني
annoys	v.يُزعج@v.يُضايق
rackets	n+f.مضارب@n+f.عصابات
litigants	n+m.متقاضون
ducted	a.ذو قناة
crisps	n+f.رقائق بطاطس
wristwatches	n+f.ساعات يد
heiress	n+f.وريثة
identifications	n+f.تعريفات@n+f.هويات
dressy	a.أنيق@a.رسمي
authenticator	n+m.مُصادق
depositories	n+f.مستودعات
godhead	n+f.ألوهية
canvassing	v.يستطلع@n+m.استطلاع
evita	n+f.إيفيتا
portia	n+f.بورشيا
shyness	n+f.خجل
plath	n+m.بلاث
pickers	n+m.جامعون
angelus	n+m.أنجيلوس
subjecting	v.يُخضع@n+m.إخضاع
unsightly	a.قبيح@a.مُشوِّه
grahame	n+m.غراهام
forecasters	n+m.متنبئون
linoleum	n+m.لينوليوم
frayed	v.تهرّأ@a.مُهترئ
criminality	n+f.إجرام
culverts	n+f.قنوات صرف
cuticle	n+f.بشرة
levelling	v.يُسوّي@n+m.تسوية
pimples	n+f.بثور
shorted	v.قصّر@a.مُقصَّر
spunky	a.شجاع@a.حيوي
razz	v.يسخر@n+f.سخرية
readies	v.يُجهّز@n+f.استعدادات
shrapnel	n+m.شظايا
arthurian	a.آرثري
burgos	n+f.بورغوس
deuterium	n+m.ديوتيريوم
litany	n+f.تضرعات@n+f.قائمة طويلة
fairest	a.أجمل@a.أعدل
totalitarianism	n+f.شمولية
trigonometric	a.مثلثي
nutter	n+m.مجنون
bristles	n+f.شعيرات@v.ينتفض
verbosity	n+f.إطناب
pavarotti	n+m.بافاروتي
larder	n+m.مخزن طعام
syncing	v.يُزامن@n+m.مزامنة
ganges	n+m.الغانج
beret	n+f.قبعة بيريه
rollaway	a.قابل للطي@n+m.سرير متحرك
nonstandard	a.غير معياري
laundries	n+f.مغاسل
truthfulness	n+f.صدق
atrocious	a.فظيع@a.بشع
obelisk	n+f.مسلة
valeria	n+f.فاليريا
claret	n+m.نبيذ أحمر@a.قرمزي
holst	n+m.هولست
ebola	n+f.إيبولا
samos	n+f.ساموس
consolidates	v.يُوحّد@v.يُعزز
consecration	n+m.تكريس@n+f.تقديس
disaggregated	v.فكّك@a.مُفكَّك
forbearance	n+f.حِلم@n+m.صبر
chromatographic	a.كروماتوغرافي
golly	int.يا للعجب
congratulates	v.يُهنئ
reinstalled	v.أعاد تثبيت@a.مُعاد تثبيته
plastered	v.جصّص@a.مُجصَّص@a.سكران
clemons	n+m.كليمونز
phospholipids	n+f.فوسفوليبيدات
elsinore	n+f.إلسينور
apostrophe	n+f.فاصلة عليا
wobbly	a.متذبذب@a.مهتز
stepmother	n+f.زوجة أب
seagulls	n+f.نوارس
megawatts	n+f.ميغاواطات
lapland	n+f.لابلاند
illuminator	n+m.مُنوِّر
symbolically	ad.رمزياً
unsubstantiated	a.غير مُثبَت
centroid	n+m.مركز ثقل
monogrammed	a.مُعلَّم بحروف
gambian	a.غامبي@n+m.غامبي
tailgating	v.يتتبع@n+m.تتبع قريب
jesuits	n+m.يسوعيون
voluminous	a.ضخم@a.غزير
mottled	a.مُبرقش@a.مُرقَّط
zing	n+f.حيوية@v.يطنّ
snips	v.يقص@n+f.قصاصات
lockup	n+m.سجن@n+m.حبس
tosses	v.يرمي@n+f.رميات
manifesting	v.يُظهر@n+m.إظهار
estella	n+f.إستيلا
implantable	a.قابل للزرع
resiliency	n+f.مرونة
astrobiology	n+m.علم الأحياء الفلكي
scrip	n+m.شهادة@n+f.قسيمة
disinfectants	n+f.مطهرات
berkshires	n+f.بيركشايرز
inhumane	a.لاإنساني@a.قاسٍ
inadequately	ad.بشكل غير كافٍ
arabella	n+f.أرابيلا
unlocks	v.يفتح@v.يُحرر
panicked	v.ذُعر@a.مذعور
throng	n+f.حشد@v.يتدافع
toed	a.ذو أصابع
crump	n+m.كرامب
randomization	n+f.عشوائية
rinsing	v.يشطف@n+m.شطف
reschedule	v.يُعيد جدولة
tob	n+m.توب
preempt	v.يستبق@v.يحلّ محل
shunned	v.تجنّب@a.مَنبوذ
abandons	v.يتخلى@v.يهجر
resold	v.أعاد بيع
phosphor	n+m.فوسفور
frontenac	n+m.فرونتيناك
appetites	n+f.شهيات
unscented	a.بلا رائحة
ergonomically	ad.هندسياً بشرياً
roosters	n+m.ديوك
ionosphere	n+f.أيونوسفير
trotsky	n+m.تروتسكي
airworthiness	n+f.صلاحية الطيران
turnip	n+m.لفت
juxtaposition	n+m.تجاور@n+f.مقارنة
marci	n+f.مارسي
crushes	v.يسحق@n+f.غرام
foreshore	n+m.ساحل أمامي
carnivorous	a.آكل لحوم
berber	n+m.بربري@a.بربري
gusset	n+f.وصلة@n+m.مثلث تقوية
mince	v.يفرم@n+m.لحم مفروم
banish	v.ينفي@v.يطرد
metalwork	n+f.أعمال معدنية
flapping	v.يخفق@n+m.خفقان
fino	n+m.فينو
punting	v.يركل@n+m.ركل
frets	n+f.حواجز@v.يقلق
scab	n+f.قشرة جرح@n+m.كاسر إضراب
schism	n+m.انشقاق
sculptured	a.منحوت
allyson	n+f.أليسون
teriyaki	n+m.تيرياكي
jemima	n+f.جميمة
impoundment	n+m.حجز@n+m.احتجاز
interrelationships	n+f.علاقات متبادلة
josephus	n+m.يوسيفوس
maputo	n+f.مابوتو
heretics	n+m.هراطقة
dogged	a.عنيد@v.لاحق
apparition	n+m.شبح@n+f.ظهور
abernathy	n+m.أبرناثي
barristers	n+m.محامون
fermion	n+m.فرميون
fluor	n+m.فلور
inoperable	a.غير قابل للتشغيل@a.غير قابل للعلاج
scrutinized	v.تفحّص@a.مُتفحَّص
earthworks	n+f.أعمال ترابية
thrashing	v.يضرب@n+m.ضرب
salome	n+f.سالومي
cyclonic	a.إعصاري
unsubscribing	v.يُلغي اشتراك@n+m.إلغاء اشتراك
shawna	n+f.شونا
pinyin	n+m.بينيين
thumping	v.يدق@a.ضخم@n+m.دق
vara	n+f.فارا
eugenics	n+m.علم تحسين النسل
quenching	v.يُطفئ@n+m.إطفاء
hunch	n+m.حدس@v.ينحني
molotov	n+m.مولوتوف
amaryllis	n+f.أمارلس
sandpaper	n+m.ورق صنفرة@v.يصنفر
messes	n+f.فوضى@v.يُفسد
perdition	n+m.هلاك
wintering	v.يُشتّي@n+m.تشتية
topple	v.يُسقط@v.ينقلب
hardiness	n+f.صلابة@n+m.تحمل
phew	int.آوف
chickasaw	n+m.شيكاسو@a.شيكاسوي
pungent	a.لاذع@a.حاد
discontinuance	n+m.توقف@n+f.إيقاف
carbonated	a.مُكربَن@a.غازي
waives	v.يتنازل عن
wraparound	a.ملفوف@n+m.غلاف
reboots	v.يُعيد تشغيل@n+f.إعادات تشغيل
headliner	n+m.نجم رئيسي@n+f.بطانة سقف
unbridled	a.جامح@a.مُطلَق
vul	a.ضعيف
superposition	n+m.تراكب
fanzine	n+f.مجلة معجبين
astrologer	n+m.منجم
purportedly	ad.بزعم@ad.ظاهرياً
antigenic	a.مُستضدي
dietetics	n+m.علم التغذية
assembles	v.يجمع@v.يُركّب
veracruz	n+f.فيراكروز
vietcong	n+m.فيتكونغ
chairwoman	n+f.رئيسة
petrochemicals	n+f.بتروكيماويات
techies	n+m.تقنيون
canvass	v.يستطلع@n+m.استطلاع
radish	n+m.فجل
manifestly	ad.بوضوح@ad.جلياً
checkmate	n+f.شاه مات@v.يُمات
starlets	n+f.نجيمات
emphatic	a.مُؤكَّد@a.قاطع
aficionado	n+m.مُولَع@n+m.هاوٍ
motivator	n+m.مُحفِّز
riv	n+m.نهر
outgrowth	n+m.نتيجة@n+m.نمو خارجي
homeward	ad.نحو البيت@a.عائد
withered	v.ذبل@a.ذابل
sandstorm	n+f.عاصفة رملية
taoist	n+m.طاوي@a.طاوي
nameplate	n+f.لوحة اسم
baiting	v.يُغري@n+m.إغراء
surrendering	v.يستسلم@n+m.استسلام
mothering	n+f.أمومة@v.يُربي
chrysanthemum	n+f.أقحوان
reconstructions	n+f.إعادات بناء
sunspot	n+f.بقعة شمسية
aisha	n+f.عائشة
fluorine	n+m.فلور
retype	v.يُعيد كتابة
fortification	n+f.تحصين
spurt	n+f.دفقة@v.يتدفق
elation	n+f.ابتهاج@n+m.انتشاء
creationist	n+m.خلقي@a.خلقي
wail	v.يعول@n+f.عويل
artistically	ad.فنياً
ampicillin	n+m.أمبيسيلين
cowbell	n+m.جرس بقرة
elma	n+f.إلما
rater	n+m.مُقيِّم
epileptic	a.صرعي@n+m.مصاب بالصرع
cezanne	n+m.سيزان
crag	n+f.صخرة حادة
feller	n+m.قاطع أشجار
earpiece	n+f.سماعة أذن
tranche	n+f.شريحة
enmity	n+f.عداوة
sanctum	n+m.حرم@n+m.مقدس
mazes	n+f.متاهات
unconstrained	a.غير مُقيَّد
souter	n+m.سوتر
osteopathy	n+m.علاج عظمي
stavanger	n+f.ستافانغر
materialistic	a.مادي@a.نفعي
boaz	n+m.بوعز
rooftops	n+f.أسطح
discourages	v.يُثبِّط@v.يُحبط
boater	n+m.قبعة قش@n+m.راكب قارب
shackleton	n+m.شاكلتون
weirdo	n+m.غريب الأطوار
congresswoman	n+f.عضوة كونغرس
tass	n+f.تاس
eucharistic	a.إفخارستي
mong	n+m.مونغ
farts	v.يضرط@n+f.ضرطات
rourke	n+m.رورك
oncoming	a.قادم@a.مُقبل
falwell	n+m.فالويل
racked	v.عذّب@a.مُعذَّب
knockoffs	n+f.تقليدات
cloister	n+m.دير@v.يعزل
hygienist	n+m.أخصائي صحة
nichole	n+f.نيكول
dartmoor	n+f.دارتمور
stapled	v.دبّس@a.مُدبَّس
butternut	n+m.جوز أمريكي
fancied	v.تخيّل@a.مُفضَّل
spoilt	v.أفسد@a.مدلَّل
predisposed	v.استعدّ@a.مُعرَّض
hydrochloric	a.هيدروكلوريك
hainan	n+f.هاينان
logoff	n+m.تسجيل خروج
cockroach	n+m.صرصور
xanadu	n+f.زانادو
computable	a.قابل للحساب
strode	v.خطا
playgroup	n+f.مجموعة لعب
disorganized	a.غير منظم
disassemble	v.يُفكك
shaftesbury	n+f.شافتسبري
littoral	a.ساحلي@n+m.منطقة ساحلية
boltzmann	n+m.بولتزمان
abidjan	n+f.أبيدجان
anise	n+m.يانسون
grainy	a.حُبيبي@a.ضبابي
hospitalizations	n+f.إدخالات مستشفى
aggressor	n+m.مُعتدٍ
giggled	v.قهقه
walkabout	n+f.جولة تفقدية
pepperoni	n+m.بيبروني
optimising	v.يُحسّن@n+m.تحسين
boathouse	n+m.مخزن قوارب
consummation	n+m.إتمام@n+f.تتويج
fronting	v.يُواجه@n+m.واجهة
refreshingly	ad.بشكل منعش
sculptural	a.نحتي
neurophysiology	n+m.علم فسيولوجيا الأعصاب
zola	n+m.زولا
unfaithful	a.خائن@a.غير وفي
outflows	n+f.تدفقات خارجة
executioner	n+m.جلاد
asthmatic	a.ربوي@n+m.مريض ربو
guillemot	n+m.غيليموت
realizations	n+f.إدراكات@n+f.تحقيقات
linguistically	ad.لغوياً
reconstitution	n+f.إعادة تشكيل
interviewee	n+m.مُقابَل
titular	a.اسمي@a.شرفي
swears	v.يُقسم@v.يسب
pinup	n+f.صورة جميلة@a.مُعلَّق
diminutive	a.صغير جداً@n+f.صيغة تصغير
transcendence	n+m.تعالٍ@n+f.سمو
surah	n+f.سورة
statisticians	n+m.إحصائيون
swatches	n+f.عينات
maoist	n+m.ماوي@a.ماوي
lilangeni	n+m.ليلانجيني
trapeze	n+m.أرجوحة بهلوانية
lemmings	n+m.قوارض ليمنغ
extents	n+f.مدى@n+f.نطاقات
spams	v.يُرسل بريداً مزعجاً@n+f.رسائل مزعجة
omagh	n+f.أوماغ
cellophane	n+m.سيلوفان
paring	v.يُقشر@n+m.تقشير
blevins	n+m.بليفينز
damning	a.مُدين@v.يُدين
cardholders	n+m.حاملو بطاقات
matrimony	n+m.زواج
humbug	n+m.هراء@n+m.دجال
signalled	v.أشار@a.مُشار إليه
hyperbaric	a.مفرط الضغط
granulated	a.حُبيبي@v.حبّب
bulldozer	n+f.جرافة
ailment	n+m.مرض@n+f.علة
homely	a.بسيط@a.قبيح
subprime	a.دون الجودة
sharpie	n+m.قلم شاربي@n+m.محتال
perpetuity	n+f.أبدية@n+m.دوام
stepfather	n+m.زوج الأم
currier	n+m.دباغ
taproot	n+m.جذر وتدي
delorme	n+m.ديلورم
disprove	v.يدحض@v.يُفند
urbanism	n+m.تخطيط حضري
bernhardt	n+m.برنهارت
incurable	a.عُضال@a.لا يُشفى
capillaries	n+f.شُعيرات دموية
mountainside	n+m.سفح جبل
shoving	v.يدفع@n+m.دفع
furnishes	v.يُفرش@v.يُزوّد
menthol	n+m.منثول
blackouts	n+f.انقطاعات كهرباء@n+f.إغماءات
starkey	n+m.ستاركي
eves	n+f.ليالي عيد
dragonflies	n+f.يعاسيب
anointing	v.يمسح بالزيت@n+m.مسح
inescapable	a.لا مفر منه
swabs	n+f.مسحات@v.يمسح
strictest	a.أشد صرامة
domiciled	v.أقام@a.مُقيم
absorbance	n+f.امتصاصية
minx	n+f.فتاة وقحة
lbw	n+m.إل بي دبليو
eclipses	n+f.كسوفات@v.يكسف
prise	v.يفتح بالقوة@n+f.رافعة
simba	n+m.سيمبا
hadrian	n+m.هادريان
cornbread	n+m.خبز ذرة
appendixes	n+f.ملاحق@n+f.زوائد دودية
supremely	ad.بشكل فائق
keynotes	n+f.محاضرات رئيسية@v.يُلقي محاضرة
mensch	n+m.إنسان محترم
hastened	v.أسرع@v.عجّل
perpetuating	v.يُديم@a.مُديم
froggy	a.ضبابي@n+m.ضفدع صغير
prioritise	v.يُعطي أولوية
bagpipe	n+f.مزمار قربة
terns	n+f.خطاف البحر
prostrate	a.ساجد@v.يسجد
provisionally	ad.مؤقتاً
cocked	v.أمال@a.مائل
dribble	v.يُراوغ@n+f.مراوغة
raged	v.هاج@v.اشتد
hardwired	a.ثابت التوصيل@a.فطري
hosta	n+f.هوستا
boyne	n+m.بوين
seeger	n+m.سيغر
sondheim	n+m.سوندهايم
interconnecting	v.يربط@a.متصل
singularly	ad.بشكل فريد@ad.منفرداً
elam	n+m.عيلام
underpinnings	n+f.دعائم@n+f.أسس
gobble	v.يلتهم@n+m.صوت ديك رومي
preposterous	a.سخيف@a.عبثي
lazar	n+m.لازار
laxatives	n+f.ملينات
mythos	n+m.أسطورة@n+f.ميثولوجيا
colloid	n+m.غرواني@a.غرواني
hiked	v.تنزه@v.رفع
symbolized	v.رمز@a.مرموز
breech	n+m.مؤخرة@n+f.فتحة خلفية
ripening	v.ينضج@n+m.نضج
oxidant	n+m.مؤكسد
pyramidal	a.هرمي
umbra	n+f.ظل كامل
choruses	n+f.جوقات
trebuchet	n+m.منجنيق
pyrite	n+m.بيريت
drunks	n+m.سكارى
submitters	n+m.مُقدِّمون
mahdi	n+m.مهدي
obstructing	v.يُعيق@a.مُعيق
kidder	n+m.مازح
hotkey	n+m.مفتاح اختصار
phosphoric	a.فوسفوريك
crediting	v.يُنسب@n+m.إسناد
parquet	n+m.باركيه
pasquale	n+m.باسكوال
reparation	n+f.تعويضات@n+m.إصلاح
amply	ad.بوفرة@ad.بكثرة
creationists	n+m.خلقيون
damask	n+m.دمشقي@a.دمشقي
batted	v.ضرب بالمضرب
scrapers	n+f.كاشطات
rejoined	v.التحق مجدداً@v.ردّ
hovercraft	n+f.حوامة
nighthawk	n+m.سبد
urologic	a.بولي
impotent	a.عاجز@a.ضعيف
spits	v.يبصق@n+f.أسياخ
emotive	a.عاطفي@a.مُثير
papacy	n+f.بابوية
curmudgeon	n+m.شخص عابس
freshener	n+m.معطر
thimble	n+m.كِشتبان
racists	n+m.عنصريون
lacquered	a.مُلمَّع@v.لمّع
ablaze	a.مُشتعل@ad.بالنار
assassinations	n+f.اغتيالات
gramophone	n+m.فونوغراف
spotty	a.مُبقَّع@a.متقطع
lech	n+m.ليخ
simmering	v.يغلي بهدوء@a.متوتر
pola	n+f.بولا
cyclosporine	n+m.سيكلوسبورين
nettie	n+f.نيتي
grasshoppers	n+m.جنادب
internationalisation	n+f.تدويل
crawlers	n+f.زواحف@n+m.متسلقون
senatorial	a.مجلسي@a.شيخوخي
thawed	v.ذاب@a.ذائب
unexplored	a.غير مُستكشَف
characterizations	n+f.توصيفات
transpired	v.تبيّن@v.حدث
dietitians	n+m.أخصائيو تغذية
toulon	n+f.تولون
undeliverable	a.غير قابل للتسليم
beechwood	n+m.خشب زان
epistemological	a.معرفي
infiltrated	v.تسلل@a.مُتسلَّل
fortifications	n+f.تحصينات
cloaking	v.يُخفي@n+m.إخفاء
dens	n+f.أوكار
unannounced	a.غير مُعلَن
deactivation	n+f.إلغاء تنشيط
dichroic	a.ثنائي اللون
loafer	n+m.كسول@n+m.حذاء مسطح
skydive	v.يقفز بالمظلة@n+m.قفز حر
gratings	n+f.شبكات@n+f.محابس
quin	n+m.كوين
retinol	n+m.ريتينول
