pl.अंगण	n+m.courtyards
सामग्री पुरवणे	v.outfitting
सामग्री विक्रेता	n+m.outfitter
सामना	n+m.bout@n+m.match@n+m.matchup
सामना करणे	vt.confront@vi.cope@vt.coping@v.encountered@n+n.tackling
सामना करत आहे	v.encountering
सामना करतो	vt.braves@vt.tackles
सामना केलेला	a.confronted
सामने	n+m.matches
सामयिक	a.topical
सामरिटन	n+m.samaritans
सामरिया	n+f.samaria
सामरी	n+m.samaritan
सामर्थ्य	n+f.capability@n+f.potency
सामाईक	a.common
सामाजिक	a.social@a.socialized@a.societal
सामाजिक कार्यक्रम	n+m.socials
सामाजिक-आर्थिक	a.socioeconomic
सामाजिक-सांस्कृतिक	a.sociocultural
सामाजिकता	n+n.socializing
सामाजिकता करणे	v.socialize
सामाजिकता करत आहे	v.socializing
सामाजिकदृष्ट्या	ad.socially
सामाजिकीकरण केले	v.socialized
सामाजीकरण	n+f.socialization
सामान	n+n.baggage@n.belongings@n+m.clobber@n+n.fittings@n+n.furnishings@n+n.luggage@n+n.stuff
सामानाची पिशवी	n+m.kitbag
सामान्य	a.banal@a.common@a.commonplace@a.general@a.generic@a.mundane@a.nonspecific@a.normal@n+m+pl.normals@a.ordinary@a.vul
सामान्य करणे	vt.normalize@v.normalizing
सामान्य केले	v.normalised
सामान्य केलेला	a.normalised
सामान्य गोष्ट	n+f.commonplace
सामान्य बुद्धी	n+f.commonsense
सामान्य माणूस	n+m.everyman@n+m.layman
सामान्य लोक	n+f.laity
सामान्यज्ञ	n+m.generalist
सामान्यतः	ad.commonly@ad.generally@ad.normally@ad.ordinarily@ad.usu@ad.usually
सामान्यता	n+f.generalities@n+f.generality@n+f.mediocrity@n+f.normalcy@n+f.normality
सामान्यीकरण	n+f.generalization@n.generalizations@n+f.normalisation@n+f.normalization
सामान्यीकरण करणे	vt.generalize
सामान्यीकृत	a.generalised@a.generalized@a.normalized
सामान्यीकृत केले	v.generalised
सामायिक	a.shared
सामायिक करणे	vt.share
सामायिक करत	v.sharing
सामायिक करतो	v.shares
सामायिक केले	v.shared
सामायिक क्षेत्र	n+n.commons
सामायिकरण	n+f.sharing
सामावून घेणारा	a.accommodating
सामावून घेणे	v.accommodate
सामावून घेतले	vt.accommodated
सामावून घेतो	vt.accommodates
सामील झाले	v.joined
सामील होणे	vt.join@v.joining@vi.joins
सामुदायिक	a.communal
सामुद्रधुनी	n+m.strait@n+m.straits
सामूहिक	a.collective@n+m.collective
सामूहिक गट	n+n.collectives
सामूहिक संभोग	n+f.orgies
सामोआ	n+n.samoa
सामोआन	a.samoan
सामोआन व्यक्ती	n+m.samoan
सामोरे गेला	v.faced
सामोरे जाणे	vt.confronting@v.facing
सामोरे जातो	v.confronts@v.faces
साम्य	n+f.likeness@n+f.resemblance@n+f.semblance@n+f.similarities
साम्य असणे	vt.resembling
साम्य होते	v.resembled
साम्यवाद	n+m.communism
साम्यवादी	n+m.communist@a.communist@n.communists
साम्राज्य	n+n.empire@n+n.imperium
साम्राज्यवाद	n+m.imperialism
साम्राज्यवादी	a.imperial@n+m.imperialist@a.imperialist
साम्राज्ये	n+f.empires
सायंकाळ	n+m.pm
सायंटोलॉजी	n+f.scientology
सायकल	n+f.bicycle@n+f.bicycles@n+f.bike@n+f.bikes@n+f.cycle@n+f.cycles
सायकल चालवणे	v.cycling
सायकल चालवली	v.cycled
सायकलस्वार	n+m.cyclist@n+m.cyclists
सायकलिंग	n+n.bicycling@n+n.biking@n+n.cycling
सायकॅमोर	n+m.sycamore
सायकेडेलिया	n+f.psychedelia
सायक्लॉप्स	n.cyclops
सायक्लोट्रॉन	n+m.cyclotron
सायक्लोस्पोरिन	n+m.cyclosporine
सायक्स	n.sykes
सायगॉन	n.saigon
सायटिका	n+f.sciatica
सायटोक्रोम	n+m.cytochrome
सायट्रेट	n+m.citrate
सायडर	n+m.cider
सायनस	n+m.sinus@n+m.sinuses
सायनाइड	n+n.cyanide
सायनुसायटिस	n+f.sinusitis
सायनॅप्टिक	a.synaptic
सायनॅप्स	n.synapses
सायनोव्हियल	a.synovial
सायपान	n.saipan
सायप्रस	n+m.cypress@n+n.cyprus
सायप्रियट	n+m.cypriots
सायप्रियन	a.cypriot
सायप्रियन व्यक्ती	n+m.cypriot
सायफन	n+m.siphon
सायफनने काढणे	v.siphon
सायफर	n+m.cypher
सायबरनेटिक्स	n+f.cybernetics
सायबरपंक	n+m.cyberpunk
सायबरसेक्स	n+m.cybersex
सायबरस्पेस	n+m.cyberspace
सायबेरियन	a.siberian@n+m.siberian
सायबेरिया	n.siberia
सायबोर्ग	n+m.cyborg
सायमंड्स	n+m.symonds
सायमन	n+m.simon
सायरन	n+f.siren@n.sirens
सायरस	n.cyrus
सायलस	n.silas
सायलेज	n+n.silage
सायलो	n+m.silo@n.silos
सायवेगळे केलेले	a.skimmed
सायसल तंतू	n+m.sisal
सार	n+f.essence@n.essences@n+m.quintessence@n+m.saar
सारंग	n+m.sarong
सारखा	a.alike@a.similar
सारखा दिसणारा	a.lookalike
सारखे	ad.continually@prep.like
सारखे असणे	vt.resemble
सारखे दिसतो	vt.resembles
सारणी	n+m.array@n+n.table
सारणीकरण	n+f.tabulation@n+f.tabulations
सारणीबद्ध	a.tabular@a.tabulated
सारणीबद्ध केले	v.tabulated
सारण्या	n+n.tables
सारबंद नृत्य	n+m.saraband
सारलँड	n+n.saarland
सारा	n+f.sara@n+f.sarah
सारांश	n+m.abstract@n+m.abstracts@n+m.brief@n+m.digest@n.digests@n+m.gist@n.recaps@n+f.roundup@n+m.rundown@n+f.summa@n+f.summaries@n+f.summarization@n+m.summary@n.synopses@n+m.synopsis
सारांश करणे	vt.summarize
सारांश काढणे	v.abstracting
सारांश दिलेला	vt.summarised
सारांश देणे	v.encapsulate@v.summarise@vt.summarizing
सारांश देतो	v.encapsulates@v.recaps@v.summarises@vt.summarizes
सारांशात्मक	a.summative@a.synoptic
सारांशित	a.summarized
सारातोगा	n+f.saratoga
सारावाक	n.sarawak
सार्कोमा	n+m.sarcoma
सार्जंट	n+m.sarge@n.sargent@n+m.sergeant@n+m.sergeants
सार्टो	n+m.sarto
सार्डिन मासे	n+f.sardines
सार्डिनिया	n.sardinia
सार्डिस	n+f.sardis
सार्त्र	n.sartre
सार्वजनिक	a.public
सार्वजनिकपणे	ad.publicly
सार्वत्रिक	a.universal
सार्वत्रिकवाद	n+m.universalism
सार्वभौम	a.sovereign
सार्वभौम सत्ता	n+f.sovereigns
सार्वभौमत्व	n+f.sovereignty
सार्वभौमवादी	n+m.universalist
सार्वभौमिकता	n+f.universality
सार्वमत	n+m.referendum@n+m.referendums
साल	n+f.bark@n+f+pl.barks@n+f.peel@n+f.peeling@n+f.rind
साल काढणे	n+n.paring@vt.peel
सालाझार	n.salazar
सालामांका	n.salamanca
सालास	n+m.salas
सालिनास	n.salinas
साले	n.peels
सालेर्नो	n.salerno
साल्झबर्ग	n+m.salzburg
साल्टन	n.salton
साल्टर	n.salter
साल्फोर्ड	n.salford
साल्मोनेला	n+f.salmonella
साल्वाटोरे	n.salvatore
साल्वाडोर	n+m.salvador
साल्व्हिया	n+f.salvia
साल्सा	n+f.salsa
साल्सा नृत्य	n+f.salsas
साल्सा सॉस	n+f.salsas
साळिंदर	n+m.porcupine
साळींदर	n+m.hedgehog
सावकाश	ad.slowly
सावकाशपणा	n+m.slowness
सावत्र आई	n+f.stepmother
सावत्र वडील	n+m.stepfather
सावध	a.attentive@a.careful@a.cautious@a.observant@a.vigilant@a.wary@a.watchful
सावध करणे	vt.alarm@vt.alarms@vt.alert@vt.alerting@v.caution@vt.cautions@vt.warn
सावध केलेला	vt.alerted@vt.cautioned@a.warned
सावध राहणे	vi.beware
सावधगिरी	n+f.caution@n+f.precaution
सावधगिरीचा	a.cautionary@a.precautionary@a.prudential
सावधपणे	ad.cautiously@ad.discreetly
सावधानता	n.cautions@n+m.warnings
सावली	n+f.shade@n+f.shadow@n+f.shadows
सावलीचा	a.shaded@a.shadowy@a.shady
सावळा	a.dusky
साशंक	a.apprehensive@a.sceptical
साशंकता	n+m.scepticism
साशा	n.sasha
साष्टांग	a.prostrate
सास्क	n.sask
सास्काटून	n+m.saskatoon
साहचर्य	n+f.communion
साहस	n+n.adventure@n+f.adventures@n+m.boldness@n+f.escapades
साहसयात्रा	n+f.odyssey
साहसी	n+m.adventurer@n.adventurers@a.adventurous
साहसे	n+f.ventures
साहित्य	n+n.literature@n+m.material
साहित्यकृती	n+f.oeuvre
साहित्यचोरी	n+n.plagiarism
साहित्यिक	a.literary
साहेब	n+m.sahib
सिंक	n+f.sink@n+m.sync
सिंक करणे	v.syncing
सिंकिंग	n+n.syncing
सिंक्रो	n+n.synchro
सिंक्रोट्रॉन	n+m.synchrotron
सिंक्रोनाइझ करणे	v.sync
सिंक्रोनायझेशन	n+n.synchronization
सिंक्लेअर	n+m.sinclair
सिंग	n+m.singh
सिंगापूर	n+m.singapore
सिंगापूरी	n+m.singaporean@a.singaporean
सिंचन	n+f.irrigation
सिंचित	a.irrigated
सिंटर करणे	v.sintering
सिंटर केले	v.sintered
सिंटर केलेला	a.sintered
सिंटरिंग	n+n.sintering
सिंडिकेट	n+m.syndicate
सिंडिकेटेड	a.syndicated
सिंडिकेशन	n+f.syndication
सिंडी	n+f.cindy
सिंड्रेला	n+f.cinderella
सिंड्रोम	n+m.syndrome
सिंथ	n+m.synth
सिंथिया	n+f.cynthia
सिंथेसायझर	n+m.synthesizer@n.synthesizers
सिंथ्स	n.synths
सिंदबाद	n+m.sinbad
सिंध	n.sind
सिंधू	n.indus
सिंबा	n+m.simba
सिंह	n+m.lion@n+m.lions@n+m.sinh
सिंह राशी	n+m.leo
सिंहली	a.sinhalese
सिंहली भाषा	n+f.sinhalese
सिंहली लोक	n+m.sinhalese
सिंहासन	n+n.throne
सिंहासने	n.thrones
सिंहीण	n+f.lioness
सिएटल	n+m.seattle
सिएना	n+f.siena@n.sienna
सिओक्स	n+m.sioux
सिकंदराबाद	n+m.secunderabad
सिक्का	n+m.coin
सिक्किम	n.sikkim
सिक्युरिटीज	n+f.securities
सिक्लिड मासे	n+m.cichlids
सिक्वेन्सर	n+m.sequencers
सिक्वेल	n.sequels
सिक्वोया	n+m.sequoia
सिगमंड	n.sigmund
सिगार	n+m.cigar@n+m.cigars
सिगारेट	n+f.cig@n+f.cigarette@n+f.cigarettes@n+f.fag@n+m.fags
सिग्नल	n+m.signal
सिग्नलिंग	n+n.signalling
सिग्नस	n+m.cygnus
सिग्मा	n+m.sigma
सिचुआन	n.sichuan
सिझेरियन	n+n.cesarean@a.cesarean
सिट	n+m.cit
सिटका	n.sitka
सिटकॉम	n+m.sitcom@n.sitcoms
सिटीग्रुप	n.citigroup
सिटीबँक	n.citibank
सिट्रीन	n+m.citrine
सिट्रोएन	n+m.citroen
सिड	n+m.sid
सिडनी	n+m.sidney@n+m.sydney
सिथेरिया	n+f.cytherea
सिद्ध	a.vindicated
सिद्ध करणारा	n+m.prover
सिद्ध करणे	vt.prove@vt.proves@v.proving
सिद्ध करण्याजोगा	a.demonstrable
सिद्ध केले	v.proved@v.proven@v.substantiated
सिद्ध झालेला	a.proved@a.proven
सिद्धांत	n+m.doctrine@n+m.doctrines@n+n.lemma@n+n.theorem@n+f.theories@n+m.theory
सिद्धांतकार	n+m.theorist@n.theorists
सिद्धांतविषयक	a.doctrinal
सिद्धार्थ	n+m.siddhartha
सिद्धी	n+n.achievements
सिनसिनाटी	n+n.cincinnati
सिनाई	n.sinai
सिनात्रा	n+m.sinatra
सिने	n+m.cine
सिनेगॉग	n+f.synagogue@n.synagogues
सिनेट	n+f.senate
सिनेट संबंधी	a.senatorial
सिनेटचा	a.senatorial
सिनेटर	n+m.senator@n+m.senators
सिनेमा	n+m.cinema@n+m.cinemas
सिन्फोनिया	n+f.sinfonia
सिप्रो	n.cipro
सिफिलीस	n+m.syphilis
सिबिल	n+f.sybil
सिबेलियस	n.sibelius
सिम	n+m.sim
सिम कार्ड	n+f.sim
सिमन्स	n+m.simmons
सिमा	n.sima
सिमियन	n.simeon
सिमेंट	n+m.cement
सिमेंट लावले	v.cemented
सिमेंट लावलेला	a.cemented
सिमेटिडीन	n+n.cimetidine
सिमोन	n+f.simone
सिम्पसन	n+m.simpson
सिम्प्लेक्स	n+m.simplex
सिम्प्सन्स	n+m.simpsons
सिम्फनी	n.symphonies@n+f.symphony
सिम्बॉल	n+m.sym
सिम्युलेटर	n+m.simulator@n.simulators
सिम्युलेशन	n+n.simulations
सिम्स	n+m.sims
सियान	n+f.sian
सियाम	n.siam
सियेरा	n+m.sierra
सियोन	n+m.sion
सिरलॉइन	n+m.sirloin
सिरस ढग	n+m.cirrus
सिराक्यूज	n+n.syracuse
सिरिंज	n+f.syringe
सिरियस	n+m.sirius
सिरिल	n.cyril
सिरिलिक	a.cyrillic
सिरॅमिक	a.ceramic
सिरॅमिक्स	n+f.ceramics
सिलिंडर	n+f.cylinder
सिलिका	n+f.silica
सिलिकेट	n+m.silicate
सिलिकॉन	n+m.silicon@n+m.silicone
सिली	n.scilly
सिलेंडर	n.cyl
सिलेक्टर	n+n.selector
सिलोआम	n+m.siloam
सिलोन	n.ceylon
सिल्कस्क्रीन मुद्रण	n+m.silkscreen
सिल्वा	n+m.silva
सिल्व्हिया	n.silvia@n+f.sylvia
सिल्व्ही	n.sylvie
सिल्व्हेस्टर	n.sylvester
सिव्हिल	n.civ
सिसिफस	n+m.sisyphus
सिसिलियन	a.sicilian@n+m.sicilian
सिसिली	n+f.sicilia@n.sicily
सिसेरो	n.cicero
सिसॉप	n+m.sysop
सिस्को	n+m.cisco
सिस्टम अॅडमिन	n+m.sysadmin
सिस्टिक	a.cystic
सिस्टीन	n+m.cysteine
सिस्टोलिक	a.systolic
सिस्ली	n+m.sisley
सीअर्स	n+m.sears
सीआयडी	n.cid
सीएचआर	n+m.chr
सीएचएम	n.chm
सीएमएल	n.cml
सीएससी	n+m.csc
सीगफ्रीड	n.siegfried
सीगर	n+m.seeger
सीगल	n+m.gull@n.gulls
सीझर	n+m.caesar@n.caesars@n.cesar
सीटबेल्ट	n+m.seatbelt
सीटीआर	n+m.ctr
सीटीएन	n.ctn
सीटीएस	n+m.cts
सीडी	n+f.cd
सीडीआर	n+m.cdr
सीता	n.sita
सीन	n.seine
सीनफेल्ड	n.seinfeld
सीपीएल	n+m.cpl
सीपीएस	n+m.cps
सीपीडी	n.cpd
सीमा	n+f.border@n+f.borders@n+f.boundaries@n+f.boundary@n+f.bounds@n+f.confine@n.confines@n+f.frontier@n+f.frontiers
सीमा ठाणे	n+f.outposts
सीमा लावतो	v.borders
सीमांकन	n+n.demarcation
सीमारेषा	n+f.borderline@n+f.demarcation
सीमावर्ती	a.bordered@a.borderline
सीमाशुल्क	n+f.customs
सीमित	a.bounded
सीमेन्स	n+m.siemens
सीमेवर होता	v.bordered
सीमेवरील	a.bordering
सीर	n+m.syr
सीरम	n+n.serum
सीरम संबंधित	a.serological
सीरियन	a.syrian@n+m.syrian
सीरियन लोक	n+m.syrians
सीरिया	n+n.syria
सीरियाक	a.syriac
सीरियाक भाषा	n+m.syriac
सील	n+f.seal
सील करणे	vt.seal
सील काढले	v.unsealed
सील केले	v.sealed
सील प्राणी	n+m.seal@n+m.seals
सीलंट	n+m.caulk@n+n.caulking@n+m.sealant@n.sealants
सीलबंद	a.sealed
सीलर	n+m.sealer
सीलिंग	n+n.sealing
सुंठ	n+m.horseradish
सुंता	n+f.circumcision
सुंता केली	v.circumcised
सुंता केलेला	a.circumcised
सुंदर	a+m.beautiful@a+f.beautiful@a+n.beautiful@a.bijou@a.bonny@a.elegant@a.graceful@a.handsome@a.lovely@a+m.pretty@a+f.pretty@a+n.pretty
सुंदरता	n+f.elegance
सुंदरपणे	ad.beautifully@ad.elegantly@ad.gracefully@ad.handsomely
सुंदरलँड	n+m.sunderland
सुंदरी	n+f.babe@n+f.beauties@n+f.belle@n.belles
सुआरेझ	n.suarez
सुई	n+f.needle@n.sui
सुईकाम	n+f.needlecraft@n+n.needlework
सुएझ	n.suez
सुओमी	n.suomi
सुकणे	vi.dries@v.wither@v.withering
सुकतो	vi.withers
सुकले	v.withered
सुकलेला	a.dried@a.sear
सुकवणे	vt.dry@n+n.drying
सुकाणू	n+m.helm@n.helms@n+m.rudder@n+n.tiller
सुकाणू धरतो	vt.helms
सुकी आलुबुखार	n+f.prune
सुके मांस	n+n.jerky
सुकेंद्रकी	a.eukaryotic
सुकेंद्रिक जीव	n+m.eukaryotes
सुक्रे	n.sucre
सुक्रोज	n+f.sucrose
सुख	n+f.felicity
सुखद	a.pleasant
सुखवाद	n+m.hedonism
सुगंध	n+m.aroma@n.aromas@n+f.fragrance@n+f.fragrances@n+f.perfume@n+m.scent@n.scents
सुगंध चिकित्सा	n+f.aromatherapy
सुगंधित	a.fragrant@a.perfumed@a.scented
सुगंधित केले	v.perfumed
सुगंधित पिशवी	n+f.sachet
सुगंधी	a.aromatic
सुगंधी द्रव्य	n+f.perfumes
सुगंधी मिश्रण	n+m.potpourri
सुगावा	n+f.clue
सुचवणे	vt.hint@vt.propose@vt.suggest@v.suggesting
सुचवतो	v.suggests
सुचवले	v.suggested
सुजननशास्त्र	n+f.eugenics
सुजलेला	a.puffy@a.swollen
सुझन	n+f.susan
सुझान	n.susanne@n+f.suzanne
सुझाना	n.susanna
सुझी	n.suzy
सुझुकी	n+m.suzuki
सुझोउ	n+m.suzhou
सुटका	n+n.breakout@n+f.escapes@n+f.reprieve@n+f.riddance
सुटका केली	v.dispensed
सुटकारे	n+f.reliefs
सुटकेस	n+m+pl.suitcases
सुटसुटीत	a.dinky@a.trim
सुटा भाग	n+m.spare
सुटे भाग	n+n.spares
सुट्टी	n+f.holiday@n+f.offs@n+f.recess@n+f.vac@n+f.vacation
सुट्टी घालवणे	v.vacationing
सुट्टीवर	n+n.vacationing
सुट्टीवर असलेले	n+m.vacationers
सुट्ट्या	n+f.holidays@n+f.vacations
सुडोकू	n+m.sudoku
सुडौल	a.shapely
सुतार	n+m.carpenter@n.carpenters@n+m.joiner@n+m.joiners@n+m.woodworker
सुतारकाम	n+f.carpentry@n+f.joinery
सुतारपक्षी	n+m.woodpecker
सुदान	n+n.sudan
सुदानी	a.sudanese@n+m.sudanese
सुदृढ	a.hunky@a.sound@a.toned
सुदृढता	n+f.soundness
सुदैवाने	ad.fortunately@ad.luckily
सुद्धा	ad.also@ad.even
सुधारक	n+m.modifier@n.modifiers@n+m.reformer@n.reformers
सुधारणा	n+m.amendments@n+n.betterment@n+m.correction@n+m.enhancement@n+n.enhancements@n+n.honing@n+f.improvement@n+f.improvements@n+f.mod@n+f.modification@n+f.modifications@n+f.mods@n+n.rectification@n.refinements@n+f.reform@n+f.reformation@n+f.reforms@n+f.revamp@n+n.revamping@n+f.revision@n+f.revisions
सुधारणा करणे	vt.modifies@vt.reform@vt.reforming@vt.revamp@vt.revising@vt.tweaking
सुधारणा करतो	v.reforms
सुधारणा केली	v.amended
सुधारणात्मक	a.correctional
सुधारणावादी	n+m.reformist@a.reformist@n+m.revisionist
सुधारणे	v.ameliorate@v.amend@v.corrected@v.enhancing@vt.improve@vt.improves@v.refine@vt.revise
सुधारत	v.improving
सुधारतो	v.revises
सुधारले	v.improved@v.revised@v.tweaked
सुधारलेला	a.tweaked
सुधारात्मक	a.corrective
सुधारित	a.amended@a.improved@a.modded@a.modified@a.reformed@a.revamped@a.revised@a.upgraded
सुधारित केले	v.revamped
सुनावणी	n+f.hearing@n+f.hearings
सुनिश्चित करतो	v.ensures
सुन्नी	n+m.sunni@a.sunni@n.sunnis
सुपरक्लास	n+m.superclass
सुपरग्रास	n+m.supergrass
सुपरचार्ज केले	v.supercharged
सुपरचार्ज केलेला	a.supercharged
सुपरचार्जर	n+m.supercharger
सुपरफंड	n+m.superfund
सुपरबोल	n.superbowl
सुपरमार्केट	n+m.supermarket@n+m.supermarkets
सुपरमॅन	n+m.superman
सुपरमॉडेल	n+m.supermodel@n.supermodels
सुपरयूजर	n+m.superuser
सुपरस्टार	n+m.superstar
सुपरस्टोअर	n+m.superstore@n+m.superstores
सुपरहिरो	n+m.superhero
सुपीक	a.fertile
सुपीक केलेला	a.fertilized
सुपीकता	n+f.fecundity@n+f.fertility
सुपोषण	n+f.eutrophication
सुप्त	a.dormant@a.latent@a.quiescent
सुफ्ले	n+n.souffle
सुबक	a.dapper
सुबारू	n+f.subaru
सुमात्रा	n.sumatra
सुमारे	ad.about@ad.around@prep.circa
सुमेर	n+m.sumer
सुमो	n+m.sumo
सुया	n+f.needles
सुरंग	n+f.tunnel
सुरकुतले	v.wrinkled
सुरकुतलेला	a.creased@a.wrinkled
सुरकुती	n+f.crease@n+f.ruck@n+f.wrinkle
सुरकुत्या	n.creases@n+f.wrinkles
सुरकुत्या करणे	n+n.crimping
सुरकुत्या नसलेला	a.unlined
सुरकुत्या पडणे	v.creasing
सुरकुत्या पडल्या	v.creased
सुरकुत्या पाडणे	vt.crease@vt.wrinkle
सुरकुत्या पाडतो	v.creases
सुरक्षा	n+f.safeguard@n+f.safeguards@n+f.security
सुरक्षित	a.immune@a.safe@a.safeguarded@a.secure@a.secured@a.unharmed
सुरक्षित करणे	vt.secure@v.securing
सुरक्षित करतो	vt.secures
सुरक्षित केले	v.secured
सुरक्षित जागा	n+m.haven
सुरक्षित ठेव	n+f.safekeeping
सुरक्षितता	n+f.safety
सुरक्षितपणे	ad.safely@ad.securely
सुरत	n.surat
सुरळीत	a.seamless
सुरळीतपणे	ad.seamlessly
सुरवंट	n+m.caterpillar
सुरात आणणे	v.tune@v.tuning
सुरात आणतो	v.tunes
सुराबाया	n+f.surabaya
सुरावट	n+f.melodies
सुरावट असलेला	a.melodic
सुरिनाम	n+n.suriname
सुरी	n+f.knife
सुरुंग क्षेत्र	n+n.minefield
सुरुवात	n+f.advent@n+f.beginning@n+f.beginnings@n+f.commencement@n+f.inception@n+f.init@n+f.onset@n+f.start@n+f.starts@n+f.startup
सुरुवात करणारा	n+m.initiator@n+m.starter
सुरुवात करणारे	n+m.starters
सुरुवात करत आहे	v.embarking
सुरुवात केलेली	vi.embarked
सुरुवातीचा	a.opening@a.starting
सुरुवातीची चाल	n+m.gambit
सुरुवातीला	ad.initially
सुरू असलेला	ad.underway
सुरू करणे	vi.begin@vt.commence@vt.commences@vt.commencing@vi.embark@vt.initiate@vt.initiates@vt.initiating@vt.launch@v.launching@vt.start
सुरू करत	v.starting
सुरू करतो	v.embarks@v.launches
सुरू केले	v.began@vt.commenced@vt.initialized@v.initiated@v.launched@v.started
सुरू केलेला	a.begun@a.initiated
सुरू झाला	v.begun
सुरू ठेवणे	vt.continue
सुरू होतो	v.begins@v.opens@v.starts
सुऱ्या	n+f.knives
सुऱ्या काटे	n+f.cutlery
सुलतान	n+m.sultan@n+m.sultans
सुलभ	a.approachable@a.convenient
सुलभ करणे	v.facilitate@vt.facilitating@v.simplified
सुलभ करतो	vt.facilitates
सुलभ केलेला	a.eased@a.facilitated
सुलभकार	n+m.facilitator
सुलभता	n+f.ease@n+n.easement
सुलभीकरण	n+n.easing@n+f.facilitation
सुलावेसी	n+m.sulawesi
सुलेखन	n+f.calligraphy
सुल्ला	n.sulla
सुळा	n+m.tusk
सुवा	n+f.suva
सुवानी	n+f.suwanee@n+f.suwannee
सुवार्ता	n.gospels
सुवार्तिक	n+m.evangelist
सुवासिक नसलेला	a.unscented
सुविधा	n+f.amenities@n+f.amenity@n+n.convenience@n.conveniences@n+f.facilities@n+f.facility
सुव्यवस्थित	a.manicured@a.streamlined
सुव्यवस्थित करणे	vt.streamline@vt.streamlining
सुव्यवस्थित करतो	v.streamlines
सुशी	n+n.sushi
सुशोभित	a.embellished
सुशोभित करणे	v.beautify
सुशोभित केले	v.embellished
सुशोभीकरण	n+f.beautification
सुसंगत	a.coherent@a.compatible@a.compatibles@a.consistent@a.consonant@a.harmonised@a.harmonized
सुसंगत असणे	vi.corresponds
सुसंगत करणे	v.harmonize
सुसंगत करत आहे	v.reconciling
सुसंगत केले	v.harmonized
सुसंगत गोष्टी	n+n.compatibles
सुसंगतता	n+f.coherence@n+f.compatibility@n+f.concordance@n+n.congruence@n+f.consistency
सुसंगती	n.harmonies
सुसंगतीकरण	n+f.harmonisation@n+f.harmonization
सुसंवाद	n+f.harmony
सुसंवादी	a.harmonious
सुसंस्कृत	a.civilised@a.civilized@a.cultured@a.sophisticated
सुसकार	n+m.hiss
सुसकारणे	vi.hiss
सुसज्ज	a.equipped@a.furnished
सुसज्ज करणे	vt.equip
सुसज्ज करत आहे	v.equipping
सुसज्ज करतो	v.furnishes
सुसज्ज केले	v.furnished@v.outfitted
सुसाना	n.susana
सुसान्ना	n.susannah
सुस्त	a.tardy
सुस्ती	n+f.lethargy
सू	n+m.sou
सूं आवाज	n+m.swoosh
सूक्ष्म	a.micro@a.minute@a.nuanced@a.subtle
सूक्ष्म अर्थशास्त्र	n+f.microeconomics
सूक्ष्म आर्थिक	a.microeconomic
सूक्ष्म इलेक्ट्रॉनिक	a.microelectronic
सूक्ष्म इलेक्ट्रॉनिक्स	n+n.microelectronics
सूक्ष्म गुरुत्वाकर्षण	n+f.microgravity
सूक्ष्म फरक	n+f.nuance@n.nuances
सूक्ष्मजीव	n+m.microbe@n.microbes@a.microbial@n.microorganisms
सूक्ष्मजीवविरोधी	a.antimicrobial
सूक्ष्मजीवशास्त्र	n+f.microbiology
सूक्ष्मजीवशास्त्रीय	a.microbiological
सूक्ष्मता	n+n.precision@n+f.subtleties@n+f.subtlety
सूक्ष्मदर्शक	n+m.microscope@n.microscopes
सूक्ष्मदर्शी	a.microscopic
सूक्ष्मदर्शी विज्ञान	n+f.microscopy
सूक्ष्मपणे	ad.subtly
सूक्ष्मरचना	n+f.microstructure
सूचक	a.indicative@n+f.indicator@n+f.indicators@n+f.pointer@a.suggestive
सूचना	n+f.clues@n+f.cues@n+m.indication@n+f.instruction@n+f.instructions@n+f.notice@n+f.notices@n+f.notification@n+f.notifications@n+f.pointers@n+m.prompt@n+m.prompts@n+f.suggestion@n+f.suggestions
सूचना दिलेला	a.instructed
सूचना देणे	vt.instruct
सूचना देत आहे	v.instructing
सूचना देतो	vt.instructs
सूचना फलक	n+m.noticeboard
सूचनाकर्ता	n+m.notifier
सूचित अर्थ	n+f.connotation@n+f.undertones
सूचित करणारा	a.indicating
सूचित करणे	v.advise@vi.bode@vt.denotes@vt.imply@vt.implying@vt.indicate@vt.intimate@vt.notifies@vt.notifying@vt.signify@v.suggesting
सूचित करत आहे	v.signifying
सूचित करतो	v.implies@v.indicates@vt.informs@v.intimates@v.suggests
सूचित केले	v.implied@v.indicated@v.notified@v.signified
सूचित केलेला	a.notified
सूची	n+f.catalogue@n+m.catalogues@n+m.docket@n+f.list
सूचीकरण	n+n.cataloguing
सूचीबद्ध	a.catalogued@a.listed
सूचीबद्ध करणे	vt.catalogue@vt.list
सूचीबद्ध करत आहे	v.cataloguing
सूचीबद्ध करतो	vt.catalogues
सूचीबद्ध केले	v.catalogued
सूचीबद्ध नसलेला	a.unlisted
सूज	n+f.bloating@n+f.swelling@n+m.welt
सूजले	v.inflamed
सूजलेला	a.inflamed
सूट	n+f.alleviation@n+f.dispensation@n+f.exemption@n+f.exemptions@n+m.suit@n+f.suite@n+f.suites@n+m.suits@n+n.waiver@n+f.waivers
सूट दिली	vt.exempted
सूट दिलेला	a.exempt
सूट देणे	v.exempt@v.exempting
सूट देत आहे	v.discounting
सूट देतो	v.exempts
सूटकेस	n+f.suitcase
सूटर	n+m.souter
सूड घेणे	v.avenge@v.wreak
सूड घेतलेला	vt.avenged
सूडकर्ता	n+m.avenger
सूडकर्ते	n.avengers
सूडबुद्धीचा	a.vengeful
