-artig	a.natured
rechtfertigte	v.vindicated
rechthaberisch	a.opinionated
rechtlich	a.legal@ad.legally@a.juridical
rechtmäßig	a.legitimate@a.lawful@ad.lawfully@a.rightful@ad.rightfully@ad.legitimately
rechts	ad.right
rechtschaffen	a.righteous@a.virtuous
rechtsgültig	ad.validly
rechtswidrig	a.unlawful@a.lawless
rechtwinklig	a.perpendicular@a.orthogonal
rechtzeitig	a.timely
recycelbar	a.recyclable
recyceln	v.recycle
recycelt	a.recycled@v.recycled
redaktionell	a.editorial
reden	v.talk
redete	v.talked
redigiert	a.redacted
redselig	a.talkative
redundant	a.redundant
reduzieren	v.reduce@v.whittle
reduzierend	v.reducing
reduziert	a.reduced@a.discounted@v.reduces
reduzierte	v.reduced
reetgedeckt	a.thatched
referenziell	a.referential
referenzierend	v.referencing
referenziert	a.referenced
referenzierte	v.referenced
reffen	v.furl
refinanzieren	v.refinance
refinanziert	v.refinanced
reflektieren	v.reflect
reflektierend	v.reflecting@a.reflective
reflektiert	v.reflects
reflektierte	v.reflected
reflexiv	a.reflexive
reformieren	v.reform
reformierend	v.reforming
reformiert	v.reforms@v.reformed@a.reformed
reformistisch	a.reformist
refraktiv	a.refractive
regelmäßig	a.regular@ad.regularly@ad.periodically@a.periodic
regeln	v.regulate
regelnd	v.regulating@v.settling
regelrecht	ad.downright@a.veritable
regelt	v.regulates@v.settles
regenerativ	a.regenerative
regenerieren	v.regenerate@v.regenerated
regenerierend	v.regenerating
regeneriert	a.regenerated
regieren	v.govern@v.reigned
regierend	v.governing@a.ruling@v.directing@a.reigning
regiert	v.rules@v.governed@v.governs
regierte	v.ruled
regimental	a.regimental
regional	a.regional@ad.regionally
registrieren	v.register
registrierend	v.registering
registriert	a.registered@v.registers
registrierte	v.registered
reglos	a.motionless
regnen	v.rain
regnend	v.raining
regnerisch	a.rainy
regnet	v.rains
regnete	v.rained
regressiv	a.regressive
regulatorisch	a.regulatory
regulieren	v.regulate
regulierend	v.regulating
reguliert	a.regulated@v.regulates@v.adjusts
regulierte	v.regulated
regulärer Ausdruck	n+m.regex@n+m.regexp
rehabilitieren	v.rehabilitate
rehabilitierend	a.rehabilitative
rehabilitiert	a.rehabilitated@a.vindicated
rehbraun	a.fawn
reiben	v.rub@v.grate@v.grates
reibend	v.rubbing@a.chafing
reibt	v.rubs
reibungslos	ad.smoothly@ad.seamlessly
reich	a.wealthy@ad.richly@a.affluent
reiche	a+f.rich
reichen	v.range
reichend	v.ranging@v.reaching@v.handing
reicher	a+m.rich@a.richer@a.wealthier
reiches	a+n.rich
reichlich	ad.plenty@a.abundant@a.ample@ad.richly@a.plentiful@a.bountiful@ad.abundantly@a.copious@ad.amply@ad.profusely
reichlich versehen	a.replete
reichlich vorhanden sein	v.abound
reichste	a.richest@a.wealthiest
reicht	v.ranges
reicht ein	v.submits
reichte	v.ranged
reichte ein	v.submitted@v.filed
reif	a.ripe
reife	a+f.mature
reifen	v.mature@v.mellow
reifend	v.maturing@v.ripening
reifer	a+m.mature
reifes	a+n.mature
reift	v.matures
reifte	v.matured
reimen	v.rhyme@v.rhyming
reimend	a.rhyming
reimt	v.rhymes
rein	a.mere@a.sheer@ad.purely
reine	a+f.pure
reiner	a+m.pure
reinerbig	a.homozygous
reines	a+n.pure
reinigen	v.clean@v.cleanse@v.purify@v.cleansed
reinigend	v.cleaning@v.cleansing@v.purifying@a.purifying
reinigt	v.cleans
reinlegen	v.trick
reinlich	ad.cleanly
reinrassig	a.thoroughbred@a.purebred
reinste	a.purest
reinvestierte	v.reinvested
reisen	v.travel
reisend	v.travelling
reist	v.travels
reiste	v.journeyed
reiten	v.ride
reitend	v.riding
reitet	v.rides
reizbar	a.irritable@a.cranky
reizen	v.provoke@v.pique@v.irritate
reizend	a.charming@a.delightful@a.irritating@a.fetching@a.irritant
reizende	a+f.lovely
reizender	a+m.lovely
reizendes	a+n.lovely
reizlos	a.unattractive
reizt	v.provokes
reizte	v.irritated
reißen	v.rip@v.tear@v.wrench@v.rupture@v.yank@v.wrenching
reißend	v.ripping@v.tearing@v.snatching
reißerisch	a.lurid
reißt	v.rips@v.wrenches@v.yanks
rekombinant	a.recombinant
rekonfigurierbar	a.reconfigurable
rekonstituiert	a.reconstituted
rekonstruieren	v.reconstruct@v.reconstructing
rekonstruiert	v.reconstructed
rekonstruktiv	a.reconstructive
rekrutieren	v.recruit
rekrutierend	v.recruiting
rekrutiert	v.recruited@v.recruits
rektal	a.rectal
rekultiviert	a.reclaimed
rekursiv	a.recursive@ad.recursively
relational	a.relational
relativ	a.relative@ad.relatively@ad.comparatively
relativistisch	a.relativistic
relevant	a.relevant@a.pertinent@a.germane
religiös	a.religious@ad.religiously
remastered	v.remastered
reminiszent	a.reminiscent
remixed	a.remixed
remixen	v.remix
remixt	v.remixes
remixte	v.remixed
renal	a.renal
rendern	v.render
rendert	v.renders
rennen	v.run@v.race
rennend	v.racing
renommiert	a.renowned
renovieren	v.renovate@v.refurbish
renovierend	v.renovating
renoviert	v.renovated@a.renovated
rentabel	a.profitable@ad.profitably
reorganisieren	v.reorganize
reorganisierend	v.reorganizing
reorganisierte	v.reorganized
reparieren	v.repair@v.fix@v.mend
reparierend	v.fixing@v.repairing@v.mending
repariert	v.repairs@v.fixes@v.repaired
reparierte	v.fixed@v.mended
repetitiv	a.repetitive
replizieren	v.replicate@v.replicates
replizierend	v.replicating
repliziert	v.replicated
repressiv	a.repressive
reproduktiv	a.reproductive
reproduzierbar	a.reproducible
reproduzieren	v.reproduce@v.reproduces
reproduzierend	v.reproducing
reproduziert	a.reproduced
reproduzierte	v.reproduced
repräsentativ	a.representative@a.representational
repräsentiert	v.represents
republikanisch	a.republican
reservierbar	a.bookable
reservieren	v.reserve
reservierend	v.reserving
reserviert	a.reserved@v.reserves@a.booked
reservierte	v.reserved
residieren	v.reside
residiert	v.resides
residierte	v.resided
resigniert	a.resigned
resistent	a.resistant
resistiv	a.resistive
resolut	a.resolute@ad.resolutely
resonant	a.resonant
resonieren	v.resonate
resoniert	v.resonates
resp.	n.resp
respektabel	a.respectable
respektieren	v.respect
respektierend	v.respecting
respektiert	a.respected@v.respects
respektierte	v.respected
respektlos	a.irreverent@a.disrespectful
respektvoll	ad.respectfully@a.respectful
respiratorisch	a.respiratory
restaurieren	v.restore
restauriert	v.restores
restriktiv	a.restrictive
restrukturieren	v.restructure
resultieren	v.result
resultierend	a.resulting@a.resultant
resultierte	v.resulted
retinal	a.retinal
retro	a.retro
retrograd	a.retrograde
retrospektiv	a.retrospective@ad.retrospectively
retten	v.save@v.rescue@v.rescuing
rettet	v.saves@v.rescues
rettete	v.saved
retuschieren	v.airbrush@v.retouching
reumütig	a.apologetic
reversibel	a.reversible
revidieren	v.revise@v.revises
revidierend	v.revising
revisionistisch	a.revisionist
revitalisieren	v.revitalize@v.rejuvenate
revitalisierend	v.revitalizing
revitalisiert	v.revitalized
revoltierend	v.revolting
revolutionieren	v.revolutionize@v.revolutionized
revolutioniert	a.revolutionized
revolutionär	a.revolutionary@a.groundbreaking
revolvierend	a.revolving
rezensierend	v.reviewing@v.critiquing
rezeptfrei	a.nonprescription
rezessiv	a.recessive
rezidivierend	a.recurrent
reziprok	a.reciprocal
rezitierend	v.reciting
rezitierte	v.recited
rhetorisch	a.rhetorical
rheumatisch	a.rheumatic
rheumatoid	a.rheumatoid
rhodesisch	a.rhodesian
rhythmisch	a.rhythmic
ribosomal	a.ribosomal
richten	v.direct
richtend	v.judging
richtet aus	v.aligns
richtig	a.proper@ad.properly@ad.correctly
richtige	a+f.right
richtiger	a+m.right
richtigerweise	ad.rightly
richtiges	a+n.right
rieb	v.grated
riechen	v.smell@v.sniff@v.smelled
riechend	v.smelling
riecht	v.smells
rief	v.called@v.shouted
rief an	v.phoned
rief aus	v.exclaimed@v.paged
rieseln	v.trickle
riesig	a.vast@a.mega@a.enormous@a.jumbo@a.mammoth@a.gigantic@ad.hugely@a.colossal@a.whopping@a.humongous
riesige	a+f.huge@a+f.massive@a+f.giant
riesiger	a+m.huge@a+m.massive@a+m.giant
riesiges	a+n.huge@a+n.massive@a+n.giant
riet	v.advised
rigoros	a.rigorous@ad.rigorously
ringen	v.wrestle@v.grapple
ringend	v.grappling
ringförmig	a.annular@a.toroidal
riskant	a.hazardous@a.risky@a.dodgy@a.perilous
riskieren	v.risk@v.risked
riskierend	v.risking
riskierte	v.ventured
riss	v.tore@v.yanked
ritt	v.rode
ritterlich	a.gallant
rittlings sitzend	v.straddling
rituell	a.ritual
ritzt	v.nicks
rivalisierend	a.rival
rivalisiert	v.rivals
roboterhaft	a.robotic
robust	a.robust@a.hardy@a.rugged@a.sturdy
roch	v.smelled
rockend	a.rocking
rockt	v.rocks
roh	a.crude@a.uncooked
rohe	a+f.raw
roher	a+m.raw
rohes	a+n.raw
rollen	v.roll@v.trundle
rollend	v.rolling@a.rolling@v.wheeling
rollt	v.rolls
rollte	v.rolled@v.wheeled
romanisch	a.romanesque
romantisch	a.romantic
rosafarbene	a+f.pink
rosafarbener	a+m.pink
rosafarbenes	a+n.pink
rosig	a.rosy
rosten	v.rust
rostfrei	a.stainless
rostig	a.rusty@a.rusted
rot	a.rouge
rot anstreichen	v.redline
rotbraun	a.sorrel@a.rufous
rote	a+f.red
roter	a+m.red
rotes	a+n.red
rotes Blutkörperchen	n+n.erythrocytes@n+n.erythrocyte
rotgrau	a.roan
rothaarig	a.ginger
rotieren	v.rotate
rotierend	a.rotary@v.rotating@a.rotational
rotiert	v.rotated@v.rotates
routinemäßig	a.routine@ad.routinely
rowdyhaft	a.rowdy
ruandisch	a.rwandan
ruchlos	a.nefarious
ruckartig	a.jerky
rucken	v.jerk
ruckend	v.jerking
ruckt	v.jerks
ruckte	v.jerked
rudern	v.row
rudernd	v.rowing
rudert	v.rows
rudimentär	a.rudimentary
rufen	v.call
rufend	v.calling
ruft	v.calls
ruft ab	v.retrieves
ruft auf	v.invokes
ruhen	v.rest@v.repose
ruhend	v.resting@a.dormant@a.quiescent
ruhig	a.calm@ad.quietly@a.tranquil@a.placid@ad.peacefully@ad.calmly@a.restful
ruhige	a+f.quiet
ruhiger	a+m.quiet@a.quieter@a.calmer
ruhiges	a+n.quiet
ruht	v.rests
ruinieren	v.ruin@v.blight
ruinierend	v.ruining
ruiniert	v.ruins@v.ruined
rumpelnd	v.rumbling
rumpelt	v.rumbles
rumänisch	a.romanian@a.rumanian
runde	a+f.round
runden	v.round
rundend	v.rounding
runder	a+m.round@a.rounder
rundes	a+n.round
rundet	v.rounds
rundlich	a.chubby@a.plump@a.tubby
rundweg	ad.flatly
runzeln	v.wrinkle
runzelte die Stirn	v.frowned
rupfen	v.pluck
russisch	a.russian
rustikal	a.rustic
rutschen	v.slide@v.slip@v.slither
rutschend	v.slipping
rutschig	a.slippery
rutscht	v.slides@v.slips@v.skids
rutschte	v.slid
rußgeschwärzt	a.sooty
rußig	a.sooty
rächen	v.revenge@v.avenge
rät	v.guesses
rätselhaft	a.cryptic@a.puzzling@a.enigmatic@a.baffling@a.perplexing
rätseln	v.puzzle
räuberisch	a.predatory
räumen	v.evacuate@v.vacate
räumlich	a.spatial@ad.spatially
räumt	v.clears
räumte	v.cleared@v.vacated
räumte ein	v.conceded
röhrenförmig	a.tubular
römisch	a.roman
rösten	v.ret
röstend	v.roasting
rötlich	a.reddish@a.ruddy
rückblickend	ad.retrospectively
rückend	v.edging
rückerstattet	v.reimbursed
rückfällig geworden	v.relapsed
rückfällig werden	v.relapse
rückgabefähig	a.returnable
rückgängig machen	v.undo
rückgängig machend	v.reverting
rückläufig	a.retrograde
rückschrittlich	a.regressive
rücksichtslos	a.reckless@a.ruthless@ad.recklessly
rücksichtsvoll	a.thoughtful@ad.thoughtfully@a.considerate
rückverfolgbar	a.traceable
rückvergüten	v.reimburse
rückwirkend	a.retroactive@ad.retroactively
rückwärts	a.backward@ad.backward@ad.backwards
rückwärts fahrend	v.reversing
rückwärts löschen	v.backspace
rückzahlbar	a.refundable@a.redeemable@a.repayable
rügen	v.reprimand
rühren	v.stir@v.stirs
rührend	a.moving@a.touching@v.stirring@a.poignant
rührselig	a.soapy
rülpsen	v.burp
rüstig	a.hale
rütteln	v.jolt
sabbern	v.drool@v.drooling
sabbernd	a.drooling
sabotieren	v.sabotage
sachdienlich	a.pertinent
sachfremd	a.extraneous
sachkundig	a.knowledgeable
sachlich	a.factual@ad.objectively@ad.factually
sackte zusammen	v.slumped
sadistisch	a.sadistic
safrangelb	a.saffron
saftig	a.juicy@a.lush@a.luscious@a.hefty@a.succulent
sagen	v.say@v.tell
sagend	v.saying
sagenhaft	a.mythical@a.fabled
sagenumwoben	a.storied
sagt	v.says@v.tells@v.saith
sagt voraus	v.predicts
sagte	v.said@v.told
sagte voraus	v.predicted
sah	v.saw
saharisch	a.saharan
sahnig	a.creamy
saisonal	a.seasonal@ad.seasonally
sakral	a.sacred@a.sacral
sakramental	a.sacramental
salbend	v.anointing
salbte	v.anointed
salpetrig	a.nitrous
salutiert	v.salutes
salzen	v.salt
salzig	a.saline@a.salty@a.brackish
salzsauer	a.hydrochloric
salzte	v.salted
sambisch	a.zambian
sammelbar	a.collectible@a.collectable
sammeln	v.collect@v.gather@v.garner@v.gleaned@v.glean
sammelnd	v.gathering@v.collecting@v.rallying
sammelt	v.collects@v.rallies@v.gathers
sammelte	v.collected@v.gathered@v.garnered@v.rallied
samoanisch	a.samoan
samten	a.velvet
samtig	a.velvety
samtweich	a.velvety
sandig	a.sandy@a.gritty
sandte	v.sent
sanft	a.tender@a.gentle@ad.gently@ad.lightly@ad.softly@a.mellow
sanfter	a.softer@a.milder@a.gentler
sanfteste	a.softest
sanftmütig	a.meek
sang	v.sang
sanieren	v.renovate
saniert	v.rehabilitated
sanitär	a.sanitary
sank	v.declined@v.sank
sank ab	v.subsided
sanktionieren	v.sanction
sanktionierend	v.sanctioning
sanktioniert	v.sanctions@v.sanctioned
sapphisch	a.sapphic
sarkastisch	a.sarcastic
satanisch	a.satanic
satirisch	a.satirical
satt	a.fed
satteldachförmig	a.saddleback
satteln	v.saddle
sattelt	v.saddles
satzungsgemäß	a.statutory
sauber	a.neat@ad.neatly@ad.cleanly
sauber gemacht	a.cleaned
saubere	a+f.clean
sauberer	a+m.clean@a.cleaner
sauberes	a+n.clean
sauberste	a.cleanest
saudisch	a.saudi
sauer	a.acid@a.sour@a.pissed@a.tart@a.acidic
sauerstoffhaltig	a.oxygenated
sauerstofflos	a.anaerobic
saufen	v.booze
saugen	v.suck
saugend	v.sucking
saugfähig	a.absorbent
saugt	v.sucks
sautiert	a.sauteed
saß	v.sat
scannen	v.scan
scannend	v.scanning
scannt	v.scans
scannte	v.scanned
schaben	v.scrape@v.scraped
schablonieren	v.stencil
schaden	v.harm@v.harming
schadet	v.harms@v.injures
schadlos halten	v.indemnify
schaffen	v.create@v.manage
schafft	v.manages
schalenförmig	a.cupped
schallend	a.resounding
schaltbar	a.switchable
schamanisch	a.shamanic
schamlos	a.shameless@ad.shamelessly
schamvoll	a.shameful
scharf	a.acute@a.keen@a.spicy@ad.sharply@a.edged@a.foxy@a.poignant@ad.acutely@a.slashing@ad.keenly@a.pungent
scharfe	a+f.sharp
scharfe Kante	n+f.sharps
scharfer	a+m.sharp
scharfes	a+n.sharp
scharfsinnig	a.astute@a.perceptive@a.incisive@a.shrewd
scharlachrot	a.scarlet
scharren	v.paw
schattenreich	a.shadowy
schattierend	v.shading
schattiert	a.shaded@a.ombre
schattig	a.shady@a.shaded@a.shadowy
schaudern	v.shudder
schauderte	v.shuddered
schauen	v.look
schauend	v.looking
schaufeln	v.shovel@v.shovels
schaukeln	v.rock
schaukelnd	v.rocking@v.bobbing
schaukelte	v.rocked
schaumig	a.foamy
schauspielerte	v.acted
schaut	v.looks
schaute	v.looked@v.watched
scheiden	v.divorce@v.divorces
scheidend	a.parting
scheinbar	a.apparent@ad.seemingly@a.seeming@ad.ostensibly
scheinen	v.seem@v.shine
scheinheilig	a.hypocritical@a.disingenuous
scheint	v.seems@v.shines
scheitern	v.fail
scheitert	v.fails@v.flops
scheiterte	v.flopped
scheiße	a.shitty
scheißen	v.shit
scheißend	v.shitting@v.pooping
scheißt	v.shits
schelmisch	a.mischievous
schematisch	a.schematic
schenken	v.gifting@v.bestow
schenkte	v.bestowed
scheren	v.shear@v.scissor
scherend	v.shearing
scherzen	v.kid@v.joke@v.jest@v.banter@v.joked
scherzend	v.joking
scherzhaft	v.kidding@a.joking@ad.jokingly
scheu	a.shy
scheuen	v.shun
scheuerfähig	a.abrasive
scheuern	v.scour@v.scouring@v.chafing
scheußlich	a.hideous
schichtförmig	a.laminar
schick	a.fancy@a.chic@a.fashionable@a.nifty@a.posh@a.swish@a.swank@a.dressy@a.spiffy@a.schick@a.snazzy
schicken	v.mail@v.send
schicksalhaft	a.fateful
schickt	v.sends
schickte	v.sent
schieben	v.push@v.shove
schiebend	v.pushing@v.shoving
schiebt	v.pushes
schied	v.parted
schiedsgerichtlich	a.arbitral
schiedsrichtern	v.umpire
schief	a.crooked@a.skewed@a.askew@a.awry@a.cocked@a.lopsided
schien	v.seemed@v.shone
schienen	v.splint
schier	a.sheer
schießen	v.shoot
schießend	v.shooting@v.gunning
schießt	v.shoots
schießt aus dem Hinterhalt	v.snipes
schiffbar	a.navigable
schiitisch	a.shiite@a.shia
schikanieren	v.hector@v.harass@v.bullied
schikaniert	a.victimized@a.bullied
schildern	v.depict
schildert	v.depicts
schilfig	a.reedy
schillernd	a.iridescent
schimmern	v.glimmer@v.shimmer@v.gleam
schimmernd	a.shimmering@v.shimmering@v.gleaming@a.lustrous
schimpfen	v.rant
schimpfend	v.ranting
schinden	v.flay
schizophren	a.schizophrenic
schlachten	v.slaughter
schlachtend	v.slaughtering
schlachtete	v.slaughtered
schlafen	v.sleep@v.roost
schlafend	v.sleeping@a.sleeping@a.asleep
schlaff	a.floppy@a.limp@a.slack@a.saggy
schlaflos	a.sleepless@a.insomniac
schlagen	v.hit@v.beat@v.strike@v.punch@v.bash@v.slap@v.bop@v.batter@v.swat@v.whack@v.slapping@v.thump@v.biff@v.smite
schlagend	v.hitting@v.striking@v.beating@v.batting@v.punching
schlammig	a.muddy@a.silty
schlampig	a.sloppy@a.slutty
schlangenförmig	a.serpentine
schlank	a.trim@a.slim@a.lean@a.sleek@a.slender@a.slimline
schlank machend	a.slimming
schlanker	a.leaner@a.slimmer
schlau	a.clever@a.sly@a.crafty@a.foxy@a.wily
schlaue	a+f.smart
schlauer	a+m.smart
schlaues	a+n.smart
schlaueste	a.smartest
schlecht	ad.badly@ad.poorly
schlecht behandelt	a.mistreated
schlechte	a+f.bad@a+f.poor
schlechter	a+m.bad@a+m.poor@ad.worse@a.poorer
schlechter Dienst	n+f.disservice
schlechtere	a+f.worse
schlechterer	a+m.worse
schlechteres	a+n.worse
schlechtes	a+n.bad@a+n.poor
schleichen	v.sneak@v.sneaking@v.creeps@v.prowl@v.lurk
schleichend	a.creeping@a.sneaking
schleicht	v.lurks
schleifen	v.loop@v.grind@v.sharpen
schleifend	v.grinding@v.sanding
schleifenförmig	v.looped
schleift	v.grinds
schleimig	a.mucous@a.slimy
schlendern	v.strolling
schlendernd	a.strolling
schlendert	v.rambles
schlenderte	v.strolled
schleppen	v.drag@v.haul@v.lug@v.lugs
schleppend	v.towing@v.dragging@v.humping@v.hauling@a.lingering@a.sluggish@v.toting
schleppnetzfischend	v.trawling
schleppt	v.hales
schleppte	v.hauled
schleudern	v.sling@v.skid@v.fling@v.hurling@v.hurled@v.hurl
schleudert	v.slings@v.tosses
schleuderte	v.flung
schlich	v.crept
schlicht	ad.simply@ad.plainly@a.homespun
schlickig	a.silty
schlief	v.slept
schließen	v.close@v.shut@v.conclude@v.infer
schließend	v.concluding@v.shutting
schließlich	ad.finally@ad.eventually@ad.ultimately@ad.lastly@a.eventual
schließt	v.closes@v.concludes@v.shuts
schließt aus	v.excludes@v.precludes
schlimmste	a+f.worst
schlimmster	a+m.worst
schlimmstes	a+n.worst
schlingen	v.gobble
schlitzen	v.slit
schlitzt	v.slashes
schloss	v.closed@v.shut@v.concluded
schluchzen	v.sob
schluchzend	v.sobbing
schluchzt	v.sobs
schlucken	v.swallow@v.swig@v.gulp
schluckend	v.swallowing
schluckt	v.swallows
schlug	v.struck@v.pounded@v.slapped@v.batted@v.smacked@v.smote
schlug vor	v.proposed@v.suggested
schlummern	v.slumber
schlummernd	a.dormant
schlurfen	v.scuff
schlurfend	v.shuffling
schlurfte	v.shuffled
schlussfolgend	v.inferring
schläfrig	a.sleepy@a.drowsy
schläft	v.sleeps
schlägt	v.beats@v.strikes@v.punches@v.batters@v.slaps@v.smacks
schlägt vor	v.suggests@v.proposes
schlüpfrig	a.raunchy@a.risque@a.slimy
schlüpft	v.slips
schlürfen	v.sup@v.slurp
schlürfend	v.lapping
schlüsselfertig	a.turnkey
schlüsselte auf	v.itemized
schlüssig	a.conclusive@ad.conclusively
schmackhaft	a.tasty@a.palatable
schmal	a.slimline
schmale	a+f.narrow
schmaler	a+m.narrow@a.narrower
schmales	a+n.narrow
schmarotzen	v.sponge
schmarotzend	a.parasitic
schmarotzt	v.sponges
schmausend	v.feasting
schmecken	v.taste
schmeckt	v.tastes
schmeckt nach	v.smacks
schmeichelhaft	a.flattering
schmeicheln	v.flatter@v.blarney
schmeichelnd	v.flattering
schmeichelte	v.flattered
schmelzen	v.melt
schmelzend	v.melting
schmerzen	v.ache@v.aching
schmerzend	a.hurting@a.aching
schmerzhaft	a.painful@a.sore@ad.painfully@a.hurtful
schmerzlich	ad.painfully@ad.sorely@a.grievous
schmerzlos	a.painless
schmerzstillend	a.analgesic
schmerzt	v.hurts@v.aches@v.smarts
schmetternd	a.clarion
schmieden	v.forge
schmiedend	v.forging
schmiegen	v.nestle
schmieren	v.grease@v.lube@v.lubricating@v.lubricated
schmierend	a.lubricating
schmierig	a.greasy@a.sleazy
schmilzt	v.melts
schmollen	v.pout
schmolz	v.smelt
schmoren	v.stew
schmort	v.stews
schmuddelig	a.dingy
schmuggeln	v.smuggled
schmuggelnd	v.smuggling
schmunzeln	v.chuckled
schmutzig	a.filthy@a.sordid
schmutzige	a+f.dirty
schmutziger	a+m.dirty
schmutziges	a+n.dirty
schmälern	v.detract
schmücken	v.decorate@v.adorn
schmückte	v.adorned
schnallen	v.buckle
schnallt	v.buckles
schnallte	v.buckled
schnappen	v.snap@v.grab@v.snatch@v.nab
schnappend	v.snapping@v.gasping@v.snatching
schnappt	v.snaps@v.nabs@v.snatches
schnappte	v.snatched
schnarchen	v.snore
schnarchend	v.snoring
schnauben	v.snort@v.snorting
schnaufen	v.huff
schneebedeckt	a.snowy
schneiden	v.cut@v.clip@v.trim@v.slice@v.carve@v.intersect@v.intersects
schneidend	v.cutting@v.slicing@a.intersecting
schneidern	v.tailor
schneidert	v.tailors
schneidet	v.cuts@v.slices
schneidig	a.dashing
schneien	v.snow
schneiend	v.snowing
schneit	v.snows
schneite	v.snowed
schnell	ad.fast@ad.quick@ad.quickly@a.rapid@ad.rapidly@a.swift@a.speedy@ad.swiftly@ad.pronto@ad.speedily@a.expeditious
schnelle	a+f.fast@a+f.quick
schnelle Nummer	n+f.quickie
schneller	a+m.fast@a+m.quick@ad.faster@a.quicker
schnellere	a+f.faster
schnellerer	a+m.faster
schnelleres	a+n.faster
schnelles	a+n.fast@a+n.quick
schnellste	a.quickest
schnellster	a.fastest
schniefen	v.snort
schnippeln	v.snip
schnippelt	v.snips
schnippen	v.flick
schnippt	v.flicks
schnittig	a.snazzy
schnitzen	v.carve@v.whittle
schnitzend	v.carving
schnorcheln	v.snorkel
schnupperte	v.sniffed
schnurlos	a.cordless
schnurren	v.purr
schnüffeln	v.snoop@v.sniff@v.snooping
schnüffelnd	v.sniffing@a.prying
schnüffelte	v.nosed@v.sniffed
schnüren	v.lacing
schnürte	v.laced
schob	v.pushed@v.shoved
schockieren	v.shock
schockierend	a.shocking@ad.shockingly
schockiert	a.shocked@v.shocked@v.shocks
scholastisch	a.scholastic
schon	ad.already
schonend	v.conserving@a.sparing
schonungslos	ad.relentlessly@ad.mercilessly
schottisch	a.scottish@a.scotch@a.scots
schottischer Gutsherr	n+m.laird
schraffiert	a.hatched
schrak zurück	v.shrank
schrauben	v.screw
schraubend	v.screwing
schraubenförmig	a.helical
schraubt	v.screws
schrecklich	a.terrible@a.horrible@a.awful@ad.terribly@a.dreadful@a.terrifying@a.horrific@a.dreaded@ad.horribly@ad.awfully@a.horrid@a.horrendous@a.frightful
schreddern	v.shred
schreddernd	v.shredding
schreiben	v.write
schreibend	v.writing@v.penning
schreibt	v.writes
schreibt um	v.rewrites
schreien	v.cry@v.scream@v.shout@v.yell@v.yells@v.holler
schreiend	v.screaming@a.screaming@v.shouting@v.yelling
schreit	v.cries@v.shouts@v.screams
schreiten	v.stride
schreitend	v.stepping@v.pacing
schreitet	v.strides@v.paces
schrie	v.cried@v.shouted@v.yelled@v.screamed
schrieb	v.wrote@v.penned
schrieb um	v.rewrote
schriftgemäß	a.scriptural
schrill	a.jazzy@a.shrill@a.jarring
schritt	v.paced@v.strode
schrittweise	ad.gradually@a.incremental@a.gradual@ad.incrementally@ad.stepwise
schrittweise eingeführt	v.phased
schroff	a.curt@a.abrupt@a.crusty@a.gruff
schrubben	v.scrub@v.scrubbing
schrubbt	v.scrubs
schrullig	a.quirky@a.dotty
schrumpfen	v.shrink@v.shrinks
schrumpfend	v.shrinking@a.shrinking
schrumpfte	v.shrunk@v.shrank
schräg	a.oblique@a.angled@a.banked@a.skew@ad.askew@a.slanted@ad.diagonally
schrägte	v.sloped
schröpfend	v.cupping
schröpft	v.fleeces
schuf	v.created
schuften	v.drudge@v.toil
schulden	v.owe
schuldet	v.owes
schuldete	v.owed
schuldhaft	a.culpable
schuldig	a.guilty@a.culpable
schulen	v.schooled
schulisch	a.scholastic
schulte	v.trained
schummeln	v.cheat
schuppig	a.squamous@a.flaky@a.scaly
schusssicher	a.bulletproof
schutzlos	a.unprotected
schwach	a.weak@a.lame@a.faint@ad.weakly@a.feeble@ad.faintly@a.tenuous@ad.dimly@a.infirm
schwafeln	v.waffle@v.witter@v.blather
schwafelt	v.waffles
schwamm	v.floated@v.swam
schwammförmig	a.spongiform
schwang	v.swung@v.wielded
schwanger	a.pregnant@a.expecting
schwanken	v.sway@v.fluctuate@v.fluctuating@v.reeling@v.swaying@v.swayed@v.falter@v.teeter
schwankend	a.fluctuating@a.swaying@a.wobbly
schwankt	v.varies
schwarz	a.blk@a.negro@a.sable
schwarzarbeiten	v.moonlight
schwarze	a+f.black
schwarze Johannisbeere	n+f.cassis
schwarzer	a+m.black
schwarzes	a+n.black
schwatzen	v.rambling@v.gab
schweben	v.float@v.hover@v.pend
schwebend	a.floating@v.hovering@a.pendent
schwebt	v.floats
schwebte	v.hovered
schwedisch	a.swedish
schweigend	ad.silently
schweineartig	a.porcine
schweizerisch	a.swiss
schweißen	v.weld
schweißig	a.sweaty
schweißt	v.welds
schwelgen	v.revel
schwelgt	v.revels
schwellend	v.swelling
schwenken	v.pan@v.swivel@v.panning
schwenkend	v.pivoting
schwenkt	v.swivels
schwenkte	v.swung
schwer	ad.heavily@ad.badly@ad.severely@ad.gravely@a.grievous
schwer fassbar	a.elusive
schwer zu behandeln	a.intractable
schwere	a+f.heavy@a+f.severe
schwerer	a+m.heavy@a+m.severe@a.heavier
schwerer wiegen	v.outweigh
schweres	a+n.heavy@a+n.severe
schwerfällig	a.cumbersome@a.clunky
schwermütig	a.moody
schwerste	a.heaviest
schwerwiegend	a.weighty
schwerwiegender	a.graver
schwierig	a.difficult@a.tough@a.tricky
schwierige	a+f.hard@a+f.difficult
schwierige Frage	n+f.poser
